,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Derek Carr,0,0,Bengals,0,12,7,0,0,61,2.0,QB,0,0,0,0,0,1,0,8,0,Bengals,0,1,1,Raiders,183,13,13.0,DST,63,2.0,0,246,0,1
1,2015,2,Derek Carr,0,0,Ravens,0,46,30,1,3,351,32.0,QB,0,0,0,0,0,2,0,23,0,Ravens,0,0,1,Raiders,351,37,3.0,DST,97,1.0,0,448,0,1
2,2015,3,Derek Carr,0,0,Browns,0,32,20,0,2,314,24.0,QB,0,0,0,0,0,1,0,-1,1,Browns,0,1,0,Raiders,314,27,3.0,DST,155,0.0,0,469,0,0
3,2015,4,Derek Carr,0,1,Bears,0,33,20,1,2,196,16.0,QB,0,0,0,0,0,1,0,0,1,Bears,0,1,1,Raiders,173,20,10.0,DST,70,2.0,0,243,0,0
4,2015,5,Derek Carr,0,1,Broncos,0,39,26,1,1,249,12.0,QB,0,0,0,0,0,1,0,-1,0,Broncos,1,2,1,Raiders,223,10,25.0,DST,65,4.0,0,288,1,1
5,2015,7,Derek Carr,0,0,Chargers,0,31,24,0,3,289,29.0,QB,0,0,0,0,0,2,0,3,1,Chargers,0,0,0,Raiders,282,37,1.0,DST,130,1.0,0,412,0,0
6,2015,8,Derek Carr,0,0,Jets,0,36,23,0,4,333,37.0,QB,0,0,0,0,0,2,0,-2,0,Jets,0,0,0,Raiders,333,34,0.0,DST,118,0.0,0,451,0,1
7,2015,9,Derek Carr,0,0,Steelers,0,44,24,1,4,301,34.0,QB,0,0,0,0,0,2,0,3,1,Steelers,0,3,1,Raiders,301,35,8.0,DST,139,0.0,0,440,0,0
8,2015,11,Derek Carr,0,0,Lions,0,25,13,0,0,169,6.0,QB,0,0,0,0,0,1,0,8,1,Lions,0,0,0,Raiders,164,13,10.0,DST,52,1.0,1,216,0,0
9,2015,12,Derek Carr,0,1,Titans,0,37,24,0,3,330,30.0,QB,0,0,0,0,0,4,0,5,1,Titans,0,2,0,Raiders,323,24,6.0,DST,84,1.0,0,407,0,0
10,2015,13,Derek Carr,0,0,Chiefs,0,48,31,3,2,283,17.0,QB,0,0,0,0,0,0,0,0,0,Chiefs,0,0,3,Raiders,262,20,20.0,DST,99,4.0,0,361,1,1
11,2015,14,Derek Carr,0,0,Broncos,0,29,12,0,2,135,17.0,QB,0,0,0,0,0,4,0,-4,1,Broncos,0,0,0,Raiders,99,15,7.0,DST,27,3.0,0,126,0,0
12,2015,15,Derek Carr,0,0,Packers,0,47,23,2,2,276,23.0,QB,0,0,0,0,0,4,0,42,0,Packers,0,0,2,Raiders,252,20,17.0,DST,120,3.0,0,372,1,1
13,2015,16,Derek Carr,0,0,Chargers,1,38,23,1,1,204,17.0,QB,0,0,0,0,0,4,0,30,0,Chargers,0,0,1,Raiders,175,23,6.0,DST,106,3.0,0,281,0,1
14,2015,17,Derek Carr,0,0,Chiefs,0,33,21,1,1,194,12.0,QB,0,0,0,0,0,2,0,12,1,Chiefs,1,0,1,Raiders,157,17,16.0,DST,48,6.0,1,205,0,0
