,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1472,2016,1,Dwayne Washington,0,0,Colts,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,2,1,1,1
1569,2016,2,Dwayne Washington,0,0,Titans,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,4,0,31,0
1661,2016,3,Dwayne Washington,0,0,Packers,0,0,0,0,0,0,3.0,RB,0,0,-3,1,0,10,0,38,1
1767,2016,4,Dwayne Washington,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,2,0,6,1
2136,2016,9,Dwayne Washington,0,0,Min,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,10,0,26,1
2286,2016,11,Dwayne Washington,0,0,Jaguars,0,0,0,0,0,0,1.0,RB,0,0,15,2,0,13,0,6,0
2367,2016,12,Dwayne Washington,0,0,Min,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,5,0,19,0
2439,2016,13,Dwayne Washington,0,0,Saints,0,0,0,0,0,0,3.0,RB,0,0,19,2,0,7,0,21,1
2505,2016,14,Dwayne Washington,0,0,Bears,0,0,0,0,0,0,7.0,RB,0,0,10,1,0,16,0,64,0
2607,2016,15,Dwayne Washington,0,0,Giants,0,0,0,0,0,0,3.0,RB,0,0,9,2,0,14,0,31,1
2708,2016,16,Dwayne Washington,0,0,Cowboys,0,0,0,0,0,0,2.0,RB,0,0,4,1,0,7,0,22,1
