,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5826,2013.0,2,Frank Summers,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0
6265,2013.0,7,Frank Summers,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0
6360,2013.0,8,Frank Summers,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.0,24.5,1.0,0.0,1.0,0.0,7.0,0.5
6432,2013.0,9,Frank Summers,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,RB,0.0,0.0,16.333333333333332,0.6666666666666666,0.0,1.0,0.0,5.666666666666667,0.6666666666666666
6543,2013.0,11,Frank Summers,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,1.25,RB,0.0,0.0,12.25,0.5,0.0,1.0,0.0,5.25,0.5
6747,2013.0,13,Frank Summers,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.2,RB,0.0,0.0,10.8,0.6,0.0,1.2,0.2,5.0,0.4
6876,2013.0,15,Frank Summers,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,RB,0.0,0.0,10.5,0.6666666666666666,0.0,1.0,0.16666666666666666,4.166666666666667,0.3333333333333333
6999,2013.0,16,Frank Summers,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,RB,0.0,0.14285714285714285,11.285714285714286,1.0,0.0,1.4285714285714286,0.14285714285714285,5.571428571428571,0.42857142857142855
7182,2014.0,1,Frank Summers,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
7268,2014.0,2,Frank Summers,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
7358,2014.0,3,Frank Summers,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,2.0,0.5,0.0,1.0,0.0,3.5,0.5
7439,2014.0,4,Frank Summers,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,3.6666666666666665,0.3333333333333333
7528,2014.0,5,Frank Summers,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.75,0.5,0.0,0.75,0.0,2.75,0.5
7687,2014.0,7,Frank Summers,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.6,0.6,0.0,0.6,0.0,2.2,0.6
7729,2014.0,8,Frank Summers,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.1666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,2.3333333333333335,0.5
7924,2014.0,10,Frank Summers,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,RB,0.0,0.0,1.0,0.5714285714285714,0.0,0.7142857142857143,0.14285714285714285,2.2857142857142856,0.5714285714285714
