,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Henry Hynoski,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,4,1,0,0,0,0,1,Redskins,1,0,1,Giants,240,14,18.0,DST,75,4.0,0,315,1,0
1,2011,2,Henry Hynoski,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,0,0,0,0,Rams,0,0,1,Giants,204,28,5.0,DST,119,3.0,0,323,0,1
2,2011,4,Henry Hynoski,0,0,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,1,Cardinals,0,2,0,Giants,306,31,5.0,DST,54,1.0,0,360,0,0
3,2011,12,Henry Hynoski,0,0,Saints,0,0,0,0,0,0,1.0,RB,0,0,10,1,0,0,0,0,1,Saints,0,1,1,Giants,392,24,6.0,DST,73,1.0,0,465,0,0
4,2011,14,Henry Hynoski,0,0,Cowboys,0,0,0,0,0,0,1.0,RB,0,0,12,2,0,0,0,0,1,Cowboys,0,0,1,Giants,400,37,2.0,DST,110,0.0,0,510,0,0
5,2011,15,Henry Hynoski,0,0,Redskins,0,0,0,0,0,0,1.0,RB,0,0,13,2,0,0,0,0,0,Redskins,0,0,3,Giants,233,10,16.0,DST,91,3.0,0,324,0,1
6,2011,17,Henry Hynoski,0,0,Cowboys,0,0,0,0,0,0,3.0,RB,0,0,31,4,0,0,0,0,0,Cowboys,0,0,0,Giants,331,31,2.0,DST,106,2.0,0,437,0,1
7,2013,3,Henry Hynoski,0,0,Panthers,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,1,Panthers,0,1,2,Giants,90,0,23.0,DST,60,7.0,0,150,0,0
8,2014,4,Henry Hynoski,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,1,1,Redskins,0,0,1,Giants,295,45,3.0,DST,154,1.0,0,449,0,0
9,2014,9,Henry Hynoski,0,0,Colts,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,2,0,Colts,0,1,0,Giants,349,24,6.0,DST,89,3.0,0,438,0,1
10,2014,11,Henry Hynoski,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,4,0,49ers,0,0,5,Giants,265,10,19.0,DST,65,2.0,0,330,0,1
11,2014,12,Henry Hynoski,0,0,Cowboys,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,4,0,Cowboys,0,0,1,Giants,328,28,4.0,DST,89,2.0,0,417,0,1
12,2014,15,Henry Hynoski,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,2,0,Redskins,0,1,0,Giants,238,24,4.0,DST,49,1.0,0,287,0,1
13,2012,1,Henry Hynoski,0,0,Cowboys,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,0,0,0,0,Cowboys,0,1,0,Giants,187,17,9.0,DST,82,3.0,0,269,0,1
14,2012,2,Henry Hynoski,0,0,Buccaneers,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,1,0,3,0,Buccaneers,0,0,3,Giants,510,41,12.0,DST,94,0.0,0,604,1,1
15,2012,3,Henry Hynoski,0,0,Panthers,0,0,0,0,0,0,1.0,RB,0,0,15,2,0,0,0,0,1,Panthers,0,0,0,Giants,280,36,2.0,DST,125,2.0,0,405,0,0
16,2012,4,Henry Hynoski,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,0,1,0,1,0,4,1,Eagles,0,0,1,Giants,309,17,6.0,DST,57,0.0,0,366,0,0
17,2012,7,Henry Hynoski,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,3,1,0,0,0,0,0,Redskins,0,0,2,Giants,329,27,6.0,DST,64,1.0,0,393,0,1
18,2012,9,Henry Hynoski,0,0,Steelers,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,0,0,0,0,Steelers,0,0,1,Giants,114,20,8.0,DST,68,2.0,0,182,0,1
19,2012,10,Henry Hynoski,0,0,Bengals,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,5,1,Bengals,0,2,2,Giants,189,13,19.0,DST,129,4.0,0,318,0,0
20,2012,14,Henry Hynoski,0,0,Saints,0,0,0,0,0,0,0.0,RB,0,0,9,2,0,1,0,5,0,Saints,0,0,2,Giants,259,52,10.0,DST,135,0.0,0,394,1,1
21,2012,16,Henry Hynoski,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,1,0,3,1,Ravens,0,0,0,Giants,119,14,7.0,DST,67,3.0,0,186,0,0
22,2012,17,Henry Hynoski,0,0,Eagles,0,0,0,0,0,0,6.0,RB,0,1,1,1,0,0,0,0,0,Eagles,0,0,0,Giants,212,42,1.0,DST,185,1.0,0,397,0,1
