,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3099,2010.0,3,Jackie Battle,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0
3358,2010.0,7,Jackie Battle,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0
3481,2010.0,8,Jackie Battle,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,0.0,0.0,0.0,3.5,0.5,10.5,0.0
3629,2010.0,10,Jackie Battle,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,RB,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.3333333333333333,8.0,0.0
3716,2010.0,11,Jackie Battle,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,1.75,RB,0.0,0.0,0.0,0.0,0.0,2.5,0.25,7.0,0.25
3991,2010.0,14,Jackie Battle,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,1.4,RB,0.0,0.0,0.0,0.0,0.0,2.2,0.2,5.6,0.2
4077,2010.0,15,Jackie Battle,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,RB,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.16666666666666666,6.0,0.3333333333333333
4270,2010.0,17,Jackie Battle,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.14285714285714285,6.428571428571429,0.42857142857142855
90,2011.0,1,Jackie Battle,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,7.0,0.0
180,2011.0,2,Jackie Battle,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,7.0,0.0
