,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,12,Jordan Todman,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,3,0,37,0,Steelers,0,0,2,Colts,219,7,14.0,DST,91,3.0,0,310,0,1
1,2016,13,Jordan Todman,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,3,1,Jets,0,1,0,Colts,282,41,3.0,DST,139,1.0,0,421,0,0
2,2015,2,Jordan Todman,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,1,0,11,0,49ers,0,0,0,Steelers,369,43,0.0,DST,84,0.0,0,453,0,1
3,2015,9,Jordan Todman,0,0,Raiders,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,0,Raiders,0,1,1,Steelers,402,38,5.0,DST,195,1.0,0,597,0,1
4,2015,10,Jordan Todman,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,8,0,Browns,0,1,1,Steelers,399,30,5.0,DST,60,1.0,0,459,0,1
5,2013,1,Jordan Todman,0,0,Chiefs,0,0,0,0,0,0,2.0,RB,0,0,20,3,0,1,0,2,0,Chiefs,0,0,2,Jaguars,107,2,26.0,DST,71,6.0,0,178,1,1
6,2013,2,Jordan Todman,0,0,Raiders,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,5,0,7,1,Raiders,0,0,0,Jaguars,214,9,12.0,DST,34,5.0,0,248,0,0
7,2013,3,Jordan Todman,0,0,Seahawks,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,2,1,5,1,Seahawks,0,1,2,Jaguars,214,17,13.0,DST,51,3.0,0,265,0,0
8,2013,4,Jordan Todman,0,0,Colts,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,4,0,Colts,0,0,3,Jaguars,165,3,26.0,DST,40,4.0,0,205,1,1
9,2013,5,Jordan Todman,0,0,Rams,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,3,0,16,1,Rams,0,1,2,Jaguars,267,20,18.0,DST,96,2.0,0,363,1,0
10,2013,6,Jordan Todman,0,0,Broncos,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,0,1,Broncos,0,0,2,Jaguars,291,19,10.0,DST,71,2.0,0,362,0,0
11,2013,7,Jordan Todman,0,0,Chargers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,8,0,Chargers,0,0,1,Jaguars,275,6,18.0,DST,78,6.0,0,353,0,1
12,2013,10,Jordan Todman,0,0,Titans,0,0,0,0,0,0,7.0,RB,0,0,2,1,0,3,1,11,1,Titans,0,0,2,Jaguars,160,29,7.0,DST,54,3.0,0,214,0,0
13,2013,11,Jordan Todman,0,0,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,-5,1,0,2,0,9,0,Cardinals,0,0,2,Jaguars,242,14,10.0,DST,32,2.0,0,274,0,1
14,2013,12,Jordan Todman,0,0,Texans,0,0,0,0,0,0,3.0,RB,0,0,5,1,0,11,0,31,1,Texans,1,0,0,Jaguars,215,13,13.0,DST,118,4.0,0,333,0,0
15,2013,13,Jordan Todman,0,0,Browns,0,0,0,0,0,0,4.0,RB,0,0,12,1,0,5,0,31,1,Browns,0,0,1,Jaguars,202,32,4.0,DST,112,2.0,0,314,0,0
16,2013,14,Jordan Todman,0,0,Texans,0,0,0,0,0,0,9.0,RB,0,1,21,1,0,7,0,14,0,Texans,0,0,0,Jaguars,132,27,2.0,DST,149,1.0,0,281,0,1
17,2013,15,Jordan Todman,0,0,Bills,0,0,0,0,0,0,14.0,RB,0,0,44,4,0,25,0,109,0,Bills,0,1,2,Jaguars,195,20,15.0,DST,159,5.0,0,354,0,1
18,2013,16,Jordan Todman,0,0,Titans,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,6,0,6,0,Titans,1,0,1,Jaguars,226,16,10.0,DST,63,2.0,0,289,0,1
19,2013,17,Jordan Todman,0,0,Colts,0,0,0,0,0,0,1.0,RB,0,0,12,1,0,2,0,3,1,Colts,0,1,1,Jaguars,308,10,14.0,DST,42,3.0,0,350,0,0
20,2014,1,Jordan Todman,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,3,0,6,1,Eagles,1,1,0,Jaguars,242,17,17.0,DST,64,3.0,0,306,1,0
21,2014,3,Jordan Todman,0,0,Colts,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,1,0,10,0,Colts,0,1,2,Jaguars,239,17,20.0,DST,105,4.0,0,344,1,1
