,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
43,2011,1,Joseph Addai,0,0,Texans,0,0,0,0,0,0,4.0,RB,0,0,13,2,0,8,0,39,1
120,2011,2,Joseph Addai,0,0,Browns,0,0,0,0,0,0,9.0,RB,0,0,37,4,0,14,0,64,0
194,2011,3,Joseph Addai,0,0,Steelers,0,0,0,0,0,0,14.0,RB,0,0,2,1,0,17,1,86,0
317,2011,4,Joseph Addai,0,0,Buccaneers,0,0,0,0,0,0,4.0,RB,0,0,7,1,0,11,0,41,1
417,2011,5,Joseph Addai,0,0,Chiefs,0,0,0,0,0,0,1.0,RB,0,0,6,1,0,6,0,19,0
565,2011,7,Joseph Addai,0,0,Saints,0,0,0,0,0,0,1.0,RB,0,0,11,2,0,2,0,8,1
947,2011,12,Joseph Addai,0,0,Panthers,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,7,0,23,0
1031,2011,13,Joseph Addai,0,0,Patriots,0,0,0,0,0,0,3.0,RB,0,0,2,1,0,13,0,39,1
1152,2011,14,Joseph Addai,0,0,Ravens,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,2,0,16,1
1229,2011,15,Joseph Addai,0,0,Titans,0,0,0,0,0,0,2.0,RB,0,0,7,2,0,11,0,20,0
1303,2011,16,Joseph Addai,0,0,Texans,0,0,0,0,0,0,5.0,RB,0,0,8,1,0,19,0,59,0
1424,2011,17,Joseph Addai,0,0,Jaguars,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,8,0,19,1
2851,2010,1,Joseph Addai,0,0,Texans,0,0,0,0,0,0,6.0,RB,0,0,29,6,0,10,0,44,1
2925,2010,2,Joseph Addai,0,0,Giants,0,0,0,0,0,0,11.0,RB,0,0,21,2,0,20,0,92,0
3058,2010,3,Joseph Addai,0,0,Broncos,0,0,0,0,0,0,3.0,RB,0,0,10,2,0,13,0,29,1
3104,2010,4,Joseph Addai,0,0,Jaguars,0,0,0,0,0,0,19.0,RB,0,0,19,3,0,16,2,63,1
3203,2010,5,Joseph Addai,0,0,Chiefs,0,0,0,0,0,0,8.0,RB,0,0,39,5,0,17,0,50,0
3260,2010,6,Joseph Addai,0,1,Redskins,0,0,0,0,0,0,17.0,RB,0,0,0,0,0,17,1,128,1
4097,2010,16,Joseph Addai,0,0,Raiders,0,0,0,0,0,0,10.0,RB,0,0,6,1,0,12,1,45,1
4207,2010,17,Joseph Addai,0,0,Titans,0,0,0,0,0,0,4.0,RB,0,0,0,0,0,11,0,44,0
