,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010,1,Julius Jones,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,8,0,18,0,49ers,0,0,1,Seahawks,165,31,3.0,DST,77,1.0,0,242,0,1
1,2010,2,Julius Jones,0,0,Broncos,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,12,1,Broncos,0,1,3,Seahawks,230,14,13.0,DST,109,1.0,0,339,0,0
2,2010,6,Julius Jones,0,0,Buccaneers,0,0,0,0,0,0,3.0,RB,0,0,6,1,0,9,0,32,1,Buccaneers,0,0,1,Saints,263,31,2.0,DST,212,0.0,0,475,0,0
3,2010,7,Julius Jones,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,1,0,6,0,Browns,0,0,4,Saints,336,17,27.0,DST,58,3.0,0,394,2,1
4,2010,8,Julius Jones,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,20,3,0,7,0,16,0,Steelers,0,1,1,Saints,288,20,10.0,DST,30,2.0,0,318,0,1
5,2010,9,Julius Jones,0,0,Panthers,0,0,0,0,0,0,6.0,RB,0,0,-6,2,0,6,0,68,1,Panthers,0,0,1,Saints,243,34,3.0,DST,165,1.0,0,408,0,0
6,2010,11,Julius Jones,0,0,Seahawks,0,0,0,0,0,0,0.0,RB,0,0,8,2,0,4,0,4,0,Seahawks,0,0,2,Saints,382,34,4.0,DST,112,0.0,0,494,0,1
7,2010,12,Julius Jones,0,0,Cowboys,0,0,0,0,0,0,6.0,RB,0,0,21,3,0,10,0,45,1,Cowboys,0,1,1,Saints,333,30,6.0,DST,81,2.0,0,414,0,0
8,2010,13,Julius Jones,0,0,Bengals,0,0,0,0,0,0,0.0,RB,0,0,6,3,0,2,0,3,1,Bengals,0,0,1,Saints,290,34,4.0,DST,146,2.0,0,436,0,0
9,2010,15,Julius Jones,0,0,Ravens,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,11,1,Ravens,0,0,1,Saints,242,24,6.0,DST,27,3.0,0,269,0,0
10,2010,16,Julius Jones,0,0,Falcons,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,2,1,Falcons,0,0,2,Saints,296,17,15.0,DST,72,1.0,0,368,1,0
11,2010,17,Julius Jones,0,1,Buccaneers,0,0,0,0,0,0,-1.0,RB,0,0,3,2,0,4,0,6,0,Buccaneers,0,2,1,Saints,199,13,16.0,DST,106,3.0,0,305,0,1
