,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,2,Justin Forsett,0,0,Jaguars,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,6,0,35,1,Jaguars,0,0,0,Texans,195,27,1.0,DST,216,0.0,0,411,0,0
1,2012,5,Justin Forsett,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,6,1,Jets,0,0,1,Texans,209,23,9.0,DST,169,0.0,0,378,1,0
2,2012,6,Justin Forsett,0,0,Packers,0,0,0,0,0,0,5.0,RB,0,0,18,1,0,7,0,47,0,Packers,0,0,3,Texans,231,24,10.0,DST,90,3.0,0,321,0,1
3,2012,7,Justin Forsett,0,0,Ravens,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,6,0,32,0,Ravens,0,0,0,Texans,239,43,2.0,DST,181,2.0,0,420,0,1
4,2012,9,Justin Forsett,0,0,Bills,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,6,0,7,0,Bills,1,0,0,Texans,256,21,5.0,DST,118,2.0,0,374,0,1
5,2012,10,Justin Forsett,0,0,Bears,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,4,0,27,1,Bears,0,0,2,Texans,88,13,12.0,DST,127,1.0,0,215,0,0
6,2012,11,Justin Forsett,0,0,Jaguars,0,0,0,0,0,0,5.0,RB,0,0,6,1,0,7,0,59,0,Jaguars,0,1,2,Texans,504,43,8.0,DST,149,2.0,0,653,0,1
7,2012,12,Justin Forsett,0,0,Lions,0,0,0,0,0,0,14.0,RB,0,0,0,0,0,5,1,87,1,Lions,0,0,1,Texans,296,34,4.0,DST,205,2.0,0,501,0,0
8,2012,13,Justin Forsett,0,0,Titans,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,14,0,63,1,Titans,0,0,0,Texans,207,24,1.0,DST,124,0.0,0,331,0,0
9,2012,14,Justin Forsett,0,0,Patriots,0,0,0,0,0,0,1.0,RB,0,0,14,1,0,3,0,7,1,Patriots,0,0,1,Texans,223,14,14.0,DST,100,2.0,0,323,1,0
