,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4314,2015.0,1,Justin Forsett,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,13.0,4.0,0.0,14.0,0.0,43.0,1.0
4393,2015.0,2,Justin Forsett,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,13.0,4.0,0.0,14.0,0.0,43.0,1.0
4520,2015.0,3,Justin Forsett,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.0,12.5,4.0,0.0,14.5,0.0,55.5,1.0
4563,2015.0,4,Justin Forsett,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,RB,0.0,0.0,13.666666666666666,4.0,0.0,13.0,0.0,41.333333333333336,0.6666666666666666
4642,2015.0,5,Justin Forsett,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,7.25,RB,0.0,0.0,10.25,3.0,0.0,16.5,0.0,68.5,0.75
4738,2015.0,6,Justin Forsett,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,10.2,RB,0.0,0.0,18.0,3.2,0.0,17.4,0.2,79.0,0.6
4821,2015.0,7,Justin Forsett,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,10.0,RB,0.0,0.0,21.5,3.8333333333333335,0.0,17.333333333333332,0.16666666666666666,76.16666666666667,0.6666666666666666
4911,2015.0,8,Justin Forsett,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,RB,0.0,0.0,19.571428571428573,3.7142857142857144,0.0,16.571428571428573,0.2857142857142857,70.42857142857143,0.7142857142857143
5050,2015.0,10,Justin Forsett,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,9.375,RB,0.0,0.0,17.75,3.375,0.0,16.625,0.25,70.25,0.625
5147,2015.0,11,Justin Forsett,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.0,17.0,3.4444444444444446,0.0,16.333333333333332,0.2222222222222222,68.33333333333333,0.5555555555555556
