,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
777,2011,10,Kevin Smith,0,0,Bears,0,0,0,0,0,0,2.0,RB,0,0,10,2,0,4,0,19,1
811,2011,11,Kevin Smith,0,0,Panthers,0,0,0,0,0,0,38.0,RB,0,1,61,4,0,16,2,140,0
930,2011,12,Kevin Smith,0,0,Packers,0,0,0,0,0,0,5.0,RB,0,0,21,3,0,7,0,36,0
1000,2011,13,Kevin Smith,0,0,Saints,0,0,0,0,0,0,13.0,RB,0,0,46,6,0,6,1,34,1
1215,2011,15,Kevin Smith,0,0,Raiders,0,0,0,0,0,0,4.0,RB,0,0,3,1,0,15,0,43,1
1268,2011,16,Kevin Smith,0,0,Chargers,0,0,0,0,0,0,17.0,RB,0,1,12,2,0,15,1,49,0
1368,2011,17,Kevin Smith,0,1,Packers,0,0,0,0,0,0,10.0,RB,0,1,26,4,0,9,0,35,1
3140,2010,4,Kevin Smith,0,0,Packers,0,0,0,0,0,0,3.0,RB,0,0,22,4,0,3,0,12,1
3217,2010,5,Kevin Smith,0,0,Rams,0,0,0,0,0,0,3.0,RB,0,0,17,1,0,4,0,24,0
3306,2010,6,Kevin Smith,0,0,Giants,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,17,1
3438,2010,8,Kevin Smith,0,0,Redskins,0,0,0,0,0,0,6.0,RB,0,0,16,2,0,12,0,51,0
3518,2010,9,Kevin Smith,0,0,Jets,0,0,0,0,0,0,3.0,RB,0,0,27,1,0,5,0,10,0
3588,2010,10,Kevin Smith,0,0,Bills,0,0,0,0,0,0,5.0,RB,0,0,41,3,0,6,0,19,1
8543,2012,1,Kevin Smith,0,0,Rams,0,0,0,0,0,0,20.0,RB,0,1,29,4,0,13,1,62,0
8668,2012,2,Kevin Smith,0,0,49ers,0,0,0,0,0,0,6.0,RB,0,0,17,2,0,16,0,53,1
9199,2012,8,Kevin Smith,0,0,Seahawks,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,1,0,1,0
9276,2012,9,Kevin Smith,0,0,Jaguars,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,3,0,8,1
9437,2012,11,Kevin Smith,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,4,0
9526,2012,12,Kevin Smith,0,0,Texans,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,6,0
9778,2012,15,Kevin Smith,0,0,Cardinals,0,0,0,0,0,0,1.0,RB,0,0,13,1,0,0,0,0,1
9874,2012,16,Kevin Smith,0,0,Falcons,0,0,0,0,0,0,0.0,RB,0,0,4,1,0,0,0,0,0
