,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5922,2013.0,3,Khiry Robinson,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0
6007,2013.0,4,Khiry Robinson,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0
6117,2013.0,5,Khiry Robinson,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,0.0,0.0,0.0,8.0,0.0,37.5,0.0
6144,2013.0,6,Khiry Robinson,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,28.0,0.3333333333333333
6363,2013.0,8,Khiry Robinson,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,4.25,RB,0.0,0.0,0.0,0.0,0.0,6.5,0.25,34.25,0.5
6663,2013.0,12,Khiry Robinson,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.4,RB,0.0,0.0,0.0,0.0,0.0,6.6,0.2,29.2,0.4
6838,2013.0,14,Khiry Robinson,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,RB,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.16666666666666666,25.0,0.5
6921,2013.0,15,Khiry Robinson,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,RB,0.0,0.0,0.0,0.0,0.0,5.0,0.14285714285714285,22.285714285714285,0.42857142857142855
6990,2013.0,16,Khiry Robinson,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.125,RB,0.0,0.0,0.0,0.0,0.0,4.5,0.125,19.5,0.5
7059,2013.0,17,Khiry Robinson,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.1111111111111111,19.333333333333332,0.5555555555555556
