,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,16,Khiry Robinson,0,1,Patriots,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,8,0,22,1,Patriots,0,1,3,Jets,128,3,20.0,DST,111,2.0,0,239,0,0
1,2015,1,Khiry Robinson,0,0,Cardinals,0,0,0,0,0,0,6.0,RB,0,0,51,5,0,8,0,19,1,Cardinals,0,0,1,Saints,354,19,8.0,DST,54,2.0,0,408,0,0
2,2015,2,Khiry Robinson,0,0,Buccaneers,0,0,0,0,0,0,4.0,RB,0,0,9,1,0,5,0,48,0,Buccaneers,1,2,1,Saints,219,19,16.0,DST,104,4.0,0,323,0,1
3,2015,3,Khiry Robinson,0,0,Panthers,0,0,0,0,0,0,7.0,RB,0,0,8,2,0,7,1,12,1,Panthers,0,1,1,Saints,310,22,6.0,DST,70,1.0,0,380,0,0
4,2015,4,Khiry Robinson,0,0,Cowboys,0,0,0,0,0,0,7.0,RB,0,0,5,2,0,6,1,16,0,Cowboys,0,0,0,Saints,335,26,4.0,DST,103,3.0,0,438,0,1
5,2015,5,Khiry Robinson,0,0,Eagles,0,0,0,0,0,0,3.0,RB,0,0,2,2,0,5,0,30,1,Eagles,0,3,1,Saints,292,17,17.0,DST,96,5.0,0,388,0,0
6,2015,6,Khiry Robinson,0,0,Falcons,0,0,0,0,0,0,4.0,RB,0,0,24,2,0,7,0,23,0,Falcons,0,0,0,Saints,304,31,1.0,DST,81,1.0,0,385,0,1
7,2015,7,Khiry Robinson,0,0,Colts,0,0,0,0,0,0,14.0,RB,0,0,3,1,0,14,2,28,1,Colts,0,0,1,Saints,266,27,5.0,DST,183,2.0,0,449,0,0
8,2015,8,Khiry Robinson,0,0,Giants,0,0,0,0,0,0,1.0,RB,0,0,13,2,0,4,0,4,0,Giants,0,0,2,Saints,505,52,10.0,DST,103,0.0,0,608,1,1
9,2013,3,Khiry Robinson,0,0,Cardinals,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,4,0,38,0,Cardinals,0,0,1,Saints,319,31,6.0,DST,104,4.0,0,423,0,1
10,2013,4,Khiry Robinson,0,0,Dolphins,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,12,0,37,0,Dolphins,0,1,0,Saints,397,38,4.0,DST,68,2.0,0,465,0,1
11,2013,5,Khiry Robinson,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,9,1,Bears,0,0,0,Saints,283,26,2.0,DST,64,1.0,0,347,0,0
