,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3032,2010,3,LeGarrette Blount,0,0,Steelers,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,6,1,27,0
3253,2010,5,LeGarrette Blount,0,0,Bengals,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,3,1
3357,2010,7,LeGarrette Blount,0,0,Rams,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,11,0,72,0
3412,2010,8,LeGarrette Blount,0,1,Cardinals,0,0,0,0,0,0,23.0,RB,0,0,9,2,0,22,2,120,1
3516,2010,9,LeGarrette Blount,0,0,Falcons,0,0,0,0,0,0,4.0,RB,0,0,0,0,0,13,0,46,1
3567,2010,10,LeGarrette Blount,0,0,Panthers,0,0,0,0,0,0,15.0,RB,0,0,0,0,0,19,1,91,0
3658,2010,11,LeGarrette Blount,0,0,49ers,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,26,0,82,1
3760,2010,12,LeGarrette Blount,0,0,Ravens,0,0,0,0,0,0,5.0,RB,0,0,0,0,0,13,0,55,1
3822,2010,13,LeGarrette Blount,0,0,Falcons,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,20,1,103,0
3935,2010,14,LeGarrette Blount,0,1,Redskins,0,0,0,0,0,0,5.0,RB,0,0,0,0,0,15,0,68,1
3998,2010,15,LeGarrette Blount,0,0,Lions,0,0,0,0,0,0,17.0,RB,0,0,0,0,0,15,1,110,0
4085,2010,16,LeGarrette Blount,0,0,Seahawks,0,0,0,0,0,0,16.0,RB,0,0,3,1,0,18,0,164,0
4199,2010,17,LeGarrette Blount,0,1,Saints,0,0,0,0,0,0,5.0,RB,0,0,2,2,0,19,0,66,1
