,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4456,2015.0,2,LeGarrette Blount,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0
4463,2015.0,3,LeGarrette Blount,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0
4671,2015.0,5,LeGarrette Blount,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,13.0,RB,0.0,0.0,7.0,0.5,0.0,10.0,1.5,41.0,0.5
4725,2015.0,6,LeGarrette Blount,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,0.0,4.666666666666667,0.3333333333333333,0.0,11.0,1.0,52.0,0.6666666666666666
4879,2015.0,7,LeGarrette Blount,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,13.75,RB,0.0,0.25,6.25,0.5,0.0,12.25,1.0,62.25,0.75
4906,2015.0,8,LeGarrette Blount,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,0.2,5.0,0.4,0.0,10.4,0.8,49.2,0.6
4964,2015.0,9,LeGarrette Blount,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,RB,0.0,0.16666666666666666,4.5,0.5,0.0,11.5,0.6666666666666666,53.0,0.5
5033,2015.0,10,LeGarrette Blount,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429,RB,0.0,0.14285714285714285,3.857142857142857,0.42857142857142855,0.0,14.0,0.7142857142857143,63.857142857142854,0.42857142857142855
5133,2015.0,11,LeGarrette Blount,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,11.625,RB,0.0,0.125,4.75,0.625,0.0,14.625,0.75,64.125,0.5
5227,2015.0,12,LeGarrette Blount,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,10.88888888888889,RB,0.0,0.1111111111111111,4.777777777777778,0.6666666666666666,0.0,14.777777777777779,0.6666666666666666,63.22222222222222,0.4444444444444444
5298,2015.0,13,LeGarrette Blount,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,10.0,RB,0.0,0.1,4.3,0.6,0.0,14.2,0.6,59.6,0.5
5394,2015.0,14,LeGarrette Blount,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,9.545454545454545,RB,0.0,0.09090909090909091,3.909090909090909,0.5454545454545454,0.0,14.090909090909092,0.5454545454545454,59.09090909090909,0.45454545454545453
