,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1878,2016,6,MarQueis Gray,0,0,Steelers,0,0,0,0,0,0,8.0,RB,0,0,81,3,0,0,0,0,0
2143,2016,9,MarQueis Gray,0,0,Jets,0,0,0,0,0,0,1.0,RB,0,0,10,2,0,0,0,0,0
2219,2016,10,MarQueis Gray,0,0,Chargers,0,0,0,0,0,0,1.0,RB,0,0,18,2,0,0,0,0,1
2306,2016,11,MarQueis Gray,0,0,LA,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,1
2375,2016,12,MarQueis Gray,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,12,2,0,0,0,0,0
2617,2016,15,MarQueis Gray,0,0,Jets,0,0,0,0,0,0,2.0,RB,0,0,28,3,0,0,0,0,1
2710,2016,16,MarQueis Gray,0,0,Bills,0,0,0,0,0,0,2.0,RB,0,0,20,1,0,0,0,0,1
4630,2015,4,MarQueis Gray,0,0,Giants,0,0,0,0,0,0,0.0,RB,0,0,2,1,0,0,0,0,0
6188,2013,6,MarQueis Gray,0,0,Lions,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,1,0,10,0
6290,2013,7,MarQueis Gray,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,-2,1
6368,2013,8,MarQueis Gray,0,0,Chiefs,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,1
6440,2013,9,MarQueis Gray,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,1,0
6846,2013,14,MarQueis Gray,0,0,Patriots,0,0,0,0,0,0,0.0,RB,0,0,3,1,0,0,0,0,1
6901,2013,15,MarQueis Gray,0,0,Bears,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,2,0,30,0
7103,2013,17,MarQueis Gray,0,0,Steelers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,4,1
7518,2014,5,MarQueis Gray,0,0,Packers,0,0,0,0,0,0,1.0,RB,0,0,16,1,0,0,0,0,1
8119,2014,13,MarQueis Gray,0,0,Browns,0,0,0,0,0,0,7.0,RB,0,0,71,2,0,0,0,0,0
8354,2014,15,MarQueis Gray,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,0,0,0,0
8425,2014,16,MarQueis Gray,0,0,Raiders,0,0,0,0,0,0,1.0,RB,0,0,15,2,0,0,0,0,1
8507,2014,17,MarQueis Gray,0,0,Patriots,0,0,0,0,0,0,2.0,RB,0,0,25,3,0,0,0,0,1
