,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010,1,Michael Robinson,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,12,2,0,0,0,0,0,49ers,0,0,1,Seahawks,165,31,3.0,DST,77,1.0,0,242,0,1
1,2010,2,Michael Robinson,0,0,Broncos,0,0,0,0,0,0,1.0,RB,0,0,7,1,0,1,0,15,1,Broncos,0,1,3,Seahawks,230,14,13.0,DST,109,1.0,0,339,0,0
2,2010,4,Michael Robinson,0,0,Rams,0,1,1,0,0,28,1.0,RB,0,0,4,1,0,1,0,3,1,Rams,0,1,1,Seahawks,193,3,18.0,DST,64,4.0,0,257,0,0
3,2010,6,Michael Robinson,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,1,Bears,0,0,0,Seahawks,242,23,7.0,DST,111,0.0,0,353,1,0
4,2010,7,Michael Robinson,0,0,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,1,0,3,0,Cardinals,0,1,0,Seahawks,158,22,8.0,DST,144,5.0,0,302,0,1
5,2010,13,Michael Robinson,0,0,Panthers,0,0,0,0,0,0,1.0,RB,0,0,0,1,0,1,0,14,0,Panthers,0,0,2,Seahawks,210,31,7.0,DST,161,3.0,0,371,0,1
6,2010,14,Michael Robinson,0,0,49ers,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,3,0,33,1,49ers,0,1,4,Seahawks,277,21,18.0,DST,84,1.0,0,361,1,0
7,2010,15,Michael Robinson,0,0,Falcons,0,0,0,0,0,0,0.0,RB,0,0,7,2,0,1,0,2,0,Falcons,0,1,2,Seahawks,143,18,18.0,DST,91,2.0,0,234,1,1
8,2010,16,Michael Robinson,0,0,Buccaneers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,1,Buccaneers,0,0,0,Seahawks,84,15,7.0,DST,90,3.0,0,174,0,0
9,2010,17,Michael Robinson,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,1,0,Rams,0,1,0,Seahawks,192,16,6.0,DST,141,0.0,0,333,0,1
