,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010,2,Mike Bell,0,0,Lions,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,0,1,Lions,0,0,0,Eagles,248,35,5.0,DST,162,5.0,0,410,0,0
1,2010,3,Mike Bell,0,0,Jaguars,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,5,0,14,1,Jaguars,0,0,0,Eagles,267,28,3.0,DST,106,3.0,0,373,0,0
2,2010,4,Mike Bell,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,3,0,6,0,Redskins,0,1,1,Eagles,243,12,12.0,DST,110,1.0,0,353,0,1
3,2010,5,Mike Bell,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,8,1,49ers,0,1,0,Eagles,227,27,7.0,DST,125,4.0,0,352,0,0
4,2010,6,Mike Bell,0,0,Steelers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,3,1,Steelers,0,1,2,Browns,258,10,19.0,DST,69,6.0,0,327,0,0
5,2010,7,Mike Bell,0,0,Saints,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,5,0,-3,1,Saints,0,0,0,Browns,85,30,1.0,DST,125,1.0,0,210,0,0
6,2010,9,Mike Bell,0,0,Patriots,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,6,0,7,0,Patriots,0,1,0,Browns,174,34,2.0,DST,230,0.0,0,404,0,1
7,2010,11,Mike Bell,0,0,Jaguars,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,1,1,Jaguars,0,0,1,Browns,195,20,12.0,DST,88,6.0,0,283,0,0
8,2010,12,Mike Bell,0,0,Panthers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,2,0,14,0,Panthers,0,1,2,Browns,227,24,15.0,DST,152,2.0,0,379,1,1
9,2010,14,Mike Bell,0,0,Bills,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,8,1,Bills,0,2,1,Browns,82,6,17.0,DST,105,1.0,0,187,0,0
10,2010,16,Mike Bell,0,0,Ravens,0,0,0,0,0,0,6.0,RB,0,0,48,2,0,7,0,27,0,Ravens,0,1,3,Browns,178,10,15.0,DST,102,0.0,0,280,0,1
11,2010,17,Mike Bell,0,0,Steelers,0,0,0,0,0,0,2.0,RB,0,0,14,4,0,5,0,14,0,Steelers,0,0,3,Browns,182,9,17.0,DST,43,4.0,0,225,0,1
