,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4338,2015.0,1,Mike Tolbert,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,6.0,1.0,0.0,1.0,0.0,12.0,1.0
4414,2015.0,2,Mike Tolbert,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,6.0,1.0,0.0,1.0,0.0,12.0,1.0
4505,2015.0,3,Mike Tolbert,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,5.0,1.5,0.0,3.0,0.0,21.5,0.5
4622,2015.0,4,Mike Tolbert,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,RB,0.0,0.0,12.666666666666666,2.0,0.0,3.6666666666666665,0.0,19.666666666666668,0.3333333333333333
4774,2015.0,6,Mike Tolbert,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,1.75,RB,0.0,0.0,9.5,1.5,0.0,3.5,0.0,16.5,0.5
4813,2015.0,7,Mike Tolbert,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,1.6,RB,0.0,0.0,7.6,1.2,0.0,3.4,0.0,15.2,0.6
4917,2015.0,8,Mike Tolbert,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.16666666666666666,6.666666666666667,1.1666666666666667,0.0,3.3333333333333335,0.16666666666666666,15.333333333333334,0.5
5011,2015.0,9,Mike Tolbert,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,RB,0.0,0.14285714285714285,11.428571428571429,1.1428571428571428,0.0,2.857142857142857,0.14285714285714285,13.142857142857142,0.42857142857142855
5070,2015.0,10,Mike Tolbert,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,3.125,RB,0.0,0.125,10.0,1.0,0.0,2.875,0.125,12.375,0.375
5126,2015.0,11,Mike Tolbert,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,2.888888888888889,RB,0.0,0.1111111111111111,10.666666666666666,1.0,0.0,2.888888888888889,0.1111111111111111,11.555555555555555,0.4444444444444444
5230,2015.0,12,Mike Tolbert,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,3.2,RB,0.0,0.2,10.1,1.1,0.0,3.3,0.1,10.9,0.4
5281,2015.0,13,Mike Tolbert,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.18181818181818182,9.181818181818182,1.0,0.0,3.3636363636363638,0.09090909090909091,11.363636363636363,0.45454545454545453
5404,2015.0,14,Mike Tolbert,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.5833333333333335,RB,0.0,0.25,9.916666666666666,1.0833333333333333,0.0,3.25,0.08333333333333333,13.166666666666666,0.5
5504,2015.0,15,Mike Tolbert,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,RB,0.0,0.23076923076923078,10.153846153846153,1.1538461538461537,0.0,3.4615384615384617,0.07692307692307693,13.461538461538462,0.46153846153846156
5591,2015.0,16,Mike Tolbert,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,RB,0.0,0.21428571428571427,9.428571428571429,1.0714285714285714,0.0,3.5714285714285716,0.07142857142857142,13.214285714285714,0.5
5654,2015.0,17,Mike Tolbert,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,3.2,RB,0.0,0.2,9.933333333333334,1.1333333333333333,0.0,3.466666666666667,0.06666666666666667,13.133333333333333,0.5333333333333333
