,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
8727,2012.0,3,Mikel Leshoure,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,19.0,RB,0.0,0.0,34.0,4.0,0.0,26.0,1.0,100.0,1.0
8857,2012.0,4,Mikel Leshoure,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,19.0,RB,0.0,0.0,34.0,4.0,0.0,26.0,1.0,100.0,1.0
9003,2012.0,6,Mikel Leshoure,0.0,0.5,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,11.5,RB,0.0,0.0,35.5,4.0,0.0,19.5,0.5,63.0,0.5
9089,2012.0,7,Mikel Leshoure,0.0,0.3333333333333333,Bears,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,RB,0.0,0.0,31.666666666666668,3.6666666666666665,0.0,18.0,0.3333333333333333,65.33333333333333,0.6666666666666666
9174,2012.0,8,Mikel Leshoure,0.0,0.5,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,9.75,RB,0.0,0.0,28.75,4.25,0.0,16.5,0.25,64.75,0.75
9216,2012.0,9,Mikel Leshoure,0.0,0.4,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,8.6,RB,0.0,0.0,24.8,4.0,0.0,15.2,0.2,61.0,0.6
9325,2012.0,10,Mikel Leshoure,0.0,0.3333333333333333,Min,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,RB,0.0,0.0,20.666666666666668,3.3333333333333335,0.0,15.333333333333334,0.6666666666666666,62.5,0.6666666666666666
9379,2012.0,11,Mikel Leshoure,0.0,0.2857142857142857,Packers,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286,RB,0.0,0.0,18.428571428571427,3.0,0.0,15.0,0.5714285714285714,59.714285714285715,0.7142857142857143
9475,2012.0,12,Mikel Leshoure,0.0,0.25,Texans,0.0,0.0,0.0,0.0,0.0,0.0,10.75,RB,0.0,0.0,15.875,2.75,0.0,15.5,0.625,62.75,0.625
9551,2012.0,13,Mikel Leshoure,0.0,0.2222222222222222,Colts,0.0,0.0,0.0,0.0,0.0,0.0,10.777777777777779,RB,0.0,0.0,17.11111111111111,2.6666666666666665,0.0,15.11111111111111,0.6666666666666666,59.333333333333336,0.5555555555555556
9666,2012.0,14,Mikel Leshoure,0.0,0.2,Packers,0.0,0.0,0.0,0.0,0.0,0.0,10.9,RB,0.0,0.0,17.0,2.6,0.0,15.7,0.7,59.1,0.5
9732,2012.0,15,Mikel Leshoure,0.0,0.18181818181818182,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,10.272727272727273,RB,0.0,0.0,15.454545454545455,2.3636363636363638,0.0,15.545454545454545,0.6363636363636364,58.18181818181818,0.5454545454545454
9824,2012.0,16,Mikel Leshoure,0.0,0.16666666666666666,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,RB,0.0,0.0,14.5,2.3333333333333335,0.0,15.416666666666666,0.6666666666666666,57.916666666666664,0.5833333333333334
9925,2012.0,17,Mikel Leshoure,0.0,0.23076923076923078,Bears,0.0,0.0,0.0,0.0,0.0,0.0,10.384615384615385,RB,0.0,0.0,14.923076923076923,2.3846153846153846,0.0,15.384615384615385,0.6923076923076923,57.0,0.5384615384615384
