,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1,2011.0,1,Ray Rice,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,26.0,RB,0.0,1.0,42.0,4.0,0.0,19.0,1.0,107.0,0.0
102,2011.0,2,Ray Rice,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,26.0,RB,0.0,1.0,42.0,4.0,0.0,19.0,1.0,107.0,0.0
189,2011.0,3,Ray Rice,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,20.5,RB,0.0,1.0,47.5,4.5,0.0,16.0,0.5,75.0,0.5
279,2011.0,4,Ray Rice,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,19.0,RB,0.0,0.6666666666666666,59.333333333333336,4.666666666666667,0.0,13.666666666666666,0.3333333333333333,77.0,0.6666666666666666
444,2011.0,6,Ray Rice,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,18.75,RB,0.0,0.5,60.5,4.0,0.0,16.5,0.5,74.25,0.5
542,2011.0,7,Ray Rice,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,18.2,RB,0.0,0.4,60.4,4.2,0.0,17.8,0.4,79.6,0.4
582,2011.0,8,Ray Rice,0.0,0.16666666666666666,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,15.833333333333334,RB,0.0,0.3333333333333333,56.166666666666664,4.333333333333333,0.0,16.166666666666668,0.3333333333333333,71.0,0.5
661,2011.0,9,Ray Rice,0.0,0.14285714285714285,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,17.428571428571427,RB,0.0,0.2857142857142857,53.285714285714285,4.714285714285714,0.0,16.428571428571427,0.7142857142857143,69.85714285714286,0.42857142857142855
733,2011.0,10,Ray Rice,0.0,0.125,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,17.0,RB,0.0,0.25,52.0,4.75,0.0,16.625,0.75,66.5,0.5
812,2011.0,11,Ray Rice,0.0,0.1111111111111111,Bengals,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,16.555555555555557,RB,0.0,0.2222222222222222,52.22222222222222,5.111111111111111,0.0,15.333333333333334,0.6666666666666666,62.111111111111114,0.5555555555555556
919,2011.0,12,Ray Rice,0.0,0.1,49ers,0.0,0.1,0.1,0.0,0.1,0.1,17.5,RB,0.0,0.2,51.3,5.1,0.0,15.8,0.8,66.3,0.5
985,2011.0,13,Ray Rice,0.0,0.09090909090909091,Browns,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,16.545454545454547,RB,0.0,0.18181818181818182,48.81818181818182,4.909090909090909,0.0,16.272727272727273,0.7272727272727273,65.63636363636364,0.45454545454545453
1083,2011.0,14,Ray Rice,0.0,0.08333333333333333,Colts,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,17.416666666666668,RB,0.0,0.16666666666666666,45.583333333333336,4.666666666666667,0.0,17.333333333333332,0.75,77.16666666666667,0.5
1192,2011.0,15,Ray Rice,0.0,0.15384615384615385,Chargers,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,17.53846153846154,RB,0.0,0.15384615384615385,45.61538461538461,4.769230769230769,0.0,18.0,0.7692307692307693,79.15384615384616,0.46153846153846156
1265,2011.0,16,Ray Rice,0.0,0.14285714285714285,Browns,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,17.0,RB,0.0,0.14285714285714285,46.285714285714285,5.071428571428571,0.0,17.428571428571427,0.7142857142857143,77.57142857142857,0.5
1350,2011.0,17,Ray Rice,0.0,0.13333333333333333,Bengals,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,17.066666666666666,RB,0.0,0.2,46.4,4.933333333333334,0.0,17.8,0.6666666666666666,78.2,0.4666666666666667
