,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2844,2010.0,1,Ricky Williams,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.0,0.0,0.0,0.0,18.0,0.0,62.0,1.0
2959,2010.0,2,Ricky Williams,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.0,0.0,0.0,0.0,18.0,0.0,62.0,1.0
3059,2010.0,3,Ricky Williams,0.0,0.5,Jets,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,0.0,0.0,0.0,14.0,0.0,46.0,1.0
3109,2010.0,4,Ricky Williams,0.0,0.3333333333333333,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,RB,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,40.0,0.6666666666666666
3284,2010.0,6,Ricky Williams,0.0,0.25,Packers,0.0,0.0,0.0,0.0,0.0,0.0,6.25,RB,0.0,0.25,11.25,1.0,0.0,10.75,0.0,44.0,0.5
3367,2010.0,7,Ricky Williams,0.0,0.2,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,6.2,RB,0.0,0.2,8.8,1.0,0.0,11.2,0.0,48.0,0.6
3426,2010.0,8,Ricky Williams,0.0,0.16666666666666666,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,RB,0.0,0.16666666666666666,7.333333333333333,0.8333333333333334,0.0,11.166666666666666,0.0,48.0,0.5
3536,2010.0,9,Ricky Williams,0.0,0.14285714285714285,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,RB,0.0,0.14285714285714285,6.571428571428571,0.8571428571428571,0.0,10.857142857142858,0.14285714285714285,47.857142857142854,0.5714285714285714
3585,2010.0,10,Ricky Williams,0.0,0.125,Titans,0.0,0.0,0.0,0.0,0.0,0.0,5.625,RB,0.0,0.125,5.75,0.75,0.0,9.75,0.125,42.0,0.625
3682,2010.0,11,Ricky Williams,0.0,0.1111111111111111,Bears,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,RB,0.0,0.1111111111111111,5.777777777777778,0.8888888888888888,0.0,9.88888888888889,0.1111111111111111,44.44444444444444,0.5555555555555556
3730,2010.0,12,Ricky Williams,0.0,0.1,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,5.2,RB,0.0,0.1,6.4,0.9,0.0,9.2,0.1,40.1,0.5
3850,2010.0,13,Ricky Williams,0.0,0.09090909090909091,Browns,0.0,0.0,0.0,0.0,0.0,0.0,6.090909090909091,RB,0.0,0.09090909090909091,6.090909090909091,0.9090909090909091,0.0,10.181818181818182,0.18181818181818182,45.09090909090909,0.5454545454545454
3941,2010.0,14,Ricky Williams,0.0,0.08333333333333333,Jets,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.08333333333333333,7.166666666666667,1.0,0.0,10.166666666666666,0.16666666666666666,45.333333333333336,0.5
4030,2010.0,15,Ricky Williams,0.0,0.07692307692307693,Bills,0.0,0.0,0.0,0.0,0.0,0.0,5.769230769230769,RB,0.0,0.07692307692307693,6.615384615384615,0.9230769230769231,0.0,10.153846153846153,0.15384615384615385,44.46153846153846,0.5384615384615384
