,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4315,2015.0,1,Ronnie Hillman,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,0.0,0.0,0.0,12.0,0.0,41.0,0.0
4419,2015.0,2,Ronnie Hillman,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,0.0,0.0,0.0,12.0,0.0,41.0,0.0
4487,2015.0,3,Ronnie Hillman,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,0.0,0.0,0.0,10.5,0.0,37.5,0.5
4560,2015.0,4,Ronnie Hillman,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,RB,0.0,0.0,1.0,0.3333333333333333,0.0,9.333333333333334,0.3333333333333333,29.333333333333332,0.6666666666666666
4690,2015.0,5,Ronnie Hillman,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,7.5,RB,0.0,0.0,2.0,0.5,0.0,9.75,0.5,47.75,0.5
4736,2015.0,6,Ronnie Hillman,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,6.4,RB,0.0,0.0,2.6,0.6,0.0,9.2,0.4,42.4,0.6
4883,2015.0,8,Ronnie Hillman,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,RB,0.0,0.0,2.8333333333333335,1.0,0.0,11.0,0.3333333333333333,53.833333333333336,0.6666666666666666
5018,2015.0,9,Ronnie Hillman,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714,RB,0.0,0.0,1.7142857142857142,1.0,0.0,12.142857142857142,0.5714285714285714,54.714285714285715,0.5714285714285714
5040,2015.0,10,Ronnie Hillman,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,7.625,RB,0.0,0.0,1.5,0.875,0.0,11.5,0.5,48.0,0.625
5115,2015.0,11,Ronnie Hillman,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,7.888888888888889,RB,0.0,0.0,2.3333333333333335,1.0,0.0,11.444444444444445,0.5555555555555556,47.333333333333336,0.5555555555555556
5186,2015.0,12,Ronnie Hillman,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,8.1,RB,0.0,0.0,2.3,1.0,0.0,12.4,0.5,52.8,0.6
5295,2015.0,13,Ronnie Hillman,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,8.363636363636363,RB,0.0,0.0,2.090909090909091,1.0,0.0,12.545454545454545,0.5454545454545454,53.36363636363637,0.5454545454545454
5381,2015.0,14,Ronnie Hillman,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,8.083333333333334,RB,0.0,0.0,1.9166666666666667,0.9166666666666666,0.0,13.083333333333334,0.5,53.583333333333336,0.5833333333333334
5488,2015.0,15,Ronnie Hillman,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,7.923076923076923,RB,0.0,0.0,4.923076923076923,1.3846153846153846,0.0,13.0,0.46153846153846156,51.0,0.5384615384615384
5566,2015.0,16,Ronnie Hillman,0.0,0.07142857142857142,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,7.571428571428571,RB,0.0,0.0,4.571428571428571,1.2857142857142858,0.0,13.071428571428571,0.42857142857142855,50.785714285714285,0.5714285714285714
5619,2015.0,17,Ronnie Hillman,0.0,0.06666666666666667,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,7.466666666666667,RB,0.0,0.0,6.733333333333333,1.4666666666666666,0.0,12.8,0.4,49.733333333333334,0.5333333333333333
