,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
57,2011,1,Shonn Greene,0,0,Cowboys,0,0,0,0,0,0,2.0,RB,0,0,7,1,0,10,0,26,0
117,2011,2,Shonn Greene,0,0,Jaguars,0,0,0,0,0,0,10.0,RB,0,0,6,2,0,16,1,49,0
201,2011,3,Shonn Greene,0,0,Raiders,0,0,0,0,0,0,9.0,RB,0,0,47,7,0,15,0,59,1
328,2011,4,Shonn Greene,0,0,Ravens,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,10,0,23,1
375,2011,5,Shonn Greene,0,0,Patriots,0,0,0,0,0,0,14.0,RB,0,0,9,2,0,21,1,83,1
459,2011,6,Shonn Greene,0,0,Dolphins,0,0,0,0,0,0,7.0,RB,0,0,3,1,0,21,0,74,0
519,2011,7,Shonn Greene,0,0,Chargers,0,0,0,0,0,0,11.0,RB,0,0,5,1,0,20,0,112,0
672,2011,9,Shonn Greene,0,0,Bills,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,19,0,76,1
747,2011,10,Shonn Greene,0,0,Patriots,0,0,0,0,0,0,7.0,RB,0,0,14,2,0,13,0,61,0
866,2011,11,Shonn Greene,0,0,Broncos,0,0,0,0,0,0,1.0,RB,0,0,4,1,0,3,0,10,1
917,2011,12,Shonn Greene,0,0,Bills,0,0,0,0,0,0,8.0,RB,0,0,12,3,0,13,0,78,0
984,2011,13,Shonn Greene,0,0,Redskins,0,0,0,0,0,0,28.0,RB,0,0,26,3,0,22,3,88,1
1080,2011,14,Shonn Greene,0,0,Chiefs,0,0,0,0,0,0,23.0,RB,0,0,58,3,0,24,1,129,0
1202,2011,15,Shonn Greene,0,0,Eagles,0,0,0,0,0,0,7.0,RB,0,0,0,1,0,18,0,73,1
1285,2011,16,Shonn Greene,0,0,Giants,0,0,0,0,0,0,7.0,RB,0,0,20,3,0,14,0,58,0
1395,2011,17,Shonn Greene,0,0,Dolphins,0,0,0,0,0,0,5.0,RB,0,0,0,0,0,14,0,55,1
2898,2010,1,Shonn Greene,0,1,Ravens,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,5,0,18,0
2948,2010,2,Shonn Greene,0,0,Patriots,0,0,0,0,0,0,5.0,RB,0,0,8,1,0,15,0,52,0
3055,2010,3,Shonn Greene,0,0,Dolphins,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,10,0,36,1
3120,2010,4,Shonn Greene,0,0,Bills,0,0,0,0,0,0,11.0,RB,0,0,0,0,0,22,0,117,1
3193,2010,5,Shonn Greene,0,0,Min,0,0,0,0,0,0,11.0,RB,0,0,0,0,0,10,1,57,0
3294,2010,6,Shonn Greene,0,0,Broncos,0,0,0,0,0,0,4.0,RB,0,0,0,0,0,9,0,43,1
3449,2010,8,Shonn Greene,0,0,Packers,0,0,0,0,0,0,3.0,RB,0,0,10,1,0,6,0,22,0
3515,2010,9,Shonn Greene,0,0,Lions,0,0,0,0,0,0,4.0,RB,0,0,9,2,0,10,0,46,1
3579,2010,10,Shonn Greene,0,0,Browns,0,0,0,0,0,0,9.0,RB,0,0,22,3,0,20,0,72,1
3672,2010,11,Shonn Greene,0,1,Texans,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,15,0,42,0
3745,2010,12,Shonn Greene,0,0,Bengals,0,0,0,0,0,0,8.0,RB,0,0,11,1,0,18,0,70,0
3847,2010,13,Shonn Greene,0,0,Patriots,0,0,0,0,0,0,6.0,RB,0,0,3,1,0,13,0,64,1
3946,2010,14,Shonn Greene,0,0,Dolphins,0,0,0,0,0,0,3.0,RB,0,0,29,3,0,8,0,17,0
4034,2010,15,Shonn Greene,0,0,Steelers,0,0,0,0,0,0,4.0,RB,0,0,5,1,0,12,0,40,1
4087,2010,16,Shonn Greene,0,0,Bears,0,0,0,0,0,0,14.0,RB,0,0,14,2,0,12,1,70,1
5769,2013,1,Shonn Greene,0,0,Steelers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,18,1
6289,2013,7,Shonn Greene,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,2,0
6391,2013,9,Shonn Greene,0,0,Rams,0,0,0,0,0,0,11.0,RB,0,0,28,1,0,9,1,38,1
6485,2013,10,Shonn Greene,0,0,Jaguars,0,0,0,0,0,0,3.0,RB,0,0,10,3,0,9,0,22,0
6574,2013,11,Shonn Greene,0,0,Colts,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,3,0,10,0
6656,2013,12,Shonn Greene,0,0,Raiders,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,15,1
6729,2013,13,Shonn Greene,0,0,Colts,0,0,0,0,0,0,3.0,RB,0,0,1,1,0,10,0,39,1
6774,2013,14,Shonn Greene,0,0,Broncos,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,9,2,46,1
6926,2013,15,Shonn Greene,0,0,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,4,0
6944,2013,16,Shonn Greene,0,0,Jaguars,0,0,0,0,0,0,15.0,RB,0,0,0,1,0,19,1,91,1
7084,2013,17,Shonn Greene,0,0,Texans,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,6,0,10,0
7143,2014,1,Shonn Greene,0,0,Chiefs,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,15,0,71,1
