,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,5,T.J. Yates,0,0,49ers,0,5,3,0,0,15,0.0,QB,0,0,0,0,0,1,0,0,1,49ers,0,1,3,Texans,182,3,25.0,DST,131,1.0,0,313,1,0
1,2013,6,T.J. Yates,0,0,Rams,0,17,12,2,0,98,-1.0,QB,0,0,0,0,0,0,0,0,0,Rams,0,2,2,Texans,267,13,32.0,DST,153,5.0,0,420,2,1
2,2015,10,T.J. Yates,0,0,Bengals,0,11,5,0,1,69,8.0,QB,0,0,0,0,0,2,0,-2,1,Bengals,0,0,1,Texans,174,10,12.0,DST,82,3.0,0,256,0,0
3,2015,11,T.J. Yates,0,1,Jets,0,34,16,0,2,229,20.0,QB,0,0,0,0,0,3,0,-5,0,Jets,0,1,0,Texans,241,24,4.0,DST,123,1.0,0,364,0,1
4,2015,14,T.J. Yates,0,0,Patriots,0,2,1,0,0,4,0.0,QB,0,0,0,0,0,0,0,0,0,Patriots,0,1,0,Texans,102,6,18.0,DST,87,6.0,0,189,0,1
5,2015,15,T.J. Yates,0,0,Colts,0,10,6,1,0,68,0.0,QB,0,0,0,0,0,1,0,7,1,Colts,0,1,1,Texans,150,16,11.0,DST,155,3.0,0,305,0,0
6,2012,6,T.J. Yates,0,0,Packers,0,5,2,1,0,23,-2.0,QB,0,0,0,0,0,0,0,0,0,Packers,0,0,3,Texans,231,24,10.0,DST,90,3.0,0,321,0,1
7,2012,14,T.J. Yates,0,0,Patriots,0,4,2,0,0,15,6.0,QB,0,0,0,0,0,1,1,1,1,Patriots,0,0,1,Texans,223,14,14.0,DST,100,2.0,0,323,1,0
8,2014,3,T.J. Yates,0,0,Buccaneers,0,4,3,1,0,64,0.0,QB,0,0,0,0,0,0,0,0,0,Buccaneers,0,3,1,Falcons,344,56,15.0,DST,144,1.0,0,488,1,1
9,2011,12,T.J. Yates,0,0,Jaguars,0,15,8,0,0,70,2.0,QB,0,0,0,0,0,4,0,-3,1,Jaguars,0,1,0,Texans,127,20,12.0,DST,88,0.0,0,215,1,0
10,2011,13,T.J. Yates,0,1,Falcons,0,25,12,0,1,188,13.0,QB,0,0,0,0,0,2,0,10,0,Falcons,0,1,0,Texans,175,17,9.0,DST,162,3.0,0,337,0,1
11,2011,14,T.J. Yates,0,1,Bengals,0,44,26,1,2,300,24.0,QB,0,0,0,0,0,5,0,36,1,Bengals,0,3,1,Texans,268,20,17.0,DST,144,5.0,0,412,0,0
12,2011,15,T.J. Yates,0,0,Panthers,0,30,19,2,0,212,5.0,QB,0,0,0,0,0,2,0,15,0,Panthers,0,1,2,Texans,208,13,15.0,DST,150,2.0,0,358,0,1
13,2011,16,T.J. Yates,0,1,Colts,0,16,13,0,0,132,4.0,QB,0,0,0,0,0,1,0,-1,1,Colts,0,1,0,Texans,112,16,10.0,DST,171,4.0,0,283,0,0
14,2011,17,T.J. Yates,0,0,Titans,0,4,4,0,0,47,1.0,QB,0,0,0,0,0,0,0,0,0,Titans,0,1,0,Texans,235,22,6.0,DST,152,3.0,0,387,0,1
