,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Tashard Choice,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,3,0,4,1,Jets,1,2,1,Cowboys,326,24,19.0,DST,64,4.0,0,390,1,0
1,2011,2,Tashard Choice,0,0,49ers,0,0,0,0,0,0,2.0,RB,0,0,24,2,0,5,0,5,1,49ers,0,0,2,Cowboys,427,27,6.0,DST,45,1.0,0,472,0,0
2,2011,3,Tashard Choice,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,3,1,0,7,0,5,0,Redskins,0,1,1,Cowboys,250,18,9.0,DST,125,1.0,0,375,0,1
3,2011,4,Tashard Choice,0,0,Lions,0,0,0,0,0,0,5.0,RB,0,0,23,4,0,6,0,39,0,Lions,0,0,3,Cowboys,321,30,19.0,DST,113,1.0,0,434,2,1
4,2011,6,Tashard Choice,0,1,Patriots,0,0,0,0,0,0,1.0,RB,0,0,16,3,0,5,0,14,1,Patriots,0,1,1,Cowboys,300,16,10.0,DST,77,2.0,0,377,0,0
5,2011,7,Tashard Choice,0,1,Rams,0,0,0,0,0,0,-1.0,RB,0,0,0,0,0,2,0,8,0,Rams,0,1,0,Cowboys,151,34,4.0,DST,294,2.0,0,445,0,1
6,2011,11,Tashard Choice,0,0,Cowboys,0,0,0,0,0,0,0.0,RB,0,0,2,1,0,6,0,7,0,Cowboys,0,1,1,Redskins,279,24,8.0,DST,60,3.0,0,339,0,1
7,2011,12,Tashard Choice,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,-8,1,Jets,0,0,0,Bills,250,24,4.0,DST,86,3.0,0,336,0,0
8,2011,13,Tashard Choice,0,0,Titans,0,0,0,0,0,0,2.0,RB,0,0,7,1,0,5,0,20,0,Titans,0,2,0,Bills,282,17,9.0,DST,104,1.0,0,386,0,1
9,2011,14,Tashard Choice,0,0,Chargers,0,0,0,0,0,0,1.0,RB,0,0,2,1,0,1,0,12,1,Chargers,0,0,3,Bills,185,10,20.0,DST,96,1.0,0,281,1,0
10,2011,15,Tashard Choice,0,0,Dolphins,0,0,0,0,0,0,5.0,RB,0,0,41,3,0,5,0,15,0,Dolphins,0,0,3,Bills,291,23,10.0,DST,113,3.0,0,404,0,1
11,2011,16,Tashard Choice,0,0,Broncos,0,0,0,0,0,0,2.0,RB,0,0,-8,1,0,9,0,27,0,Broncos,0,0,0,Bills,191,40,1.0,DST,160,1.0,0,351,0,1
12,2011,17,Tashard Choice,0,0,Patriots,0,0,0,0,0,0,6.0,RB,0,0,9,1,0,1,1,4,1,Patriots,0,0,4,Bills,296,21,17.0,DST,106,2.0,0,402,1,0
13,2010,1,Tashard Choice,0,1,Redskins,0,0,0,0,0,0,0.0,RB,0,0,-2,2,0,5,0,18,1,Redskins,0,1,0,Cowboys,277,7,16.0,DST,103,1.0,0,380,1,0
14,2010,2,Tashard Choice,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,6,1,0,1,0,-1,0,Bears,0,1,2,Cowboys,374,20,10.0,DST,36,0.0,0,410,0,1
15,2010,3,Tashard Choice,0,0,Texans,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,4,1,Texans,0,0,0,Cowboys,284,27,1.0,DST,101,0.0,0,385,0,0
16,2010,8,Tashard Choice,0,0,Jaguars,0,0,0,0,0,0,2.0,RB,0,0,27,4,0,0,0,0,0,Jaguars,0,0,4,Cowboys,365,17,14.0,DST,50,2.0,0,415,0,1
17,2010,9,Tashard Choice,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,9,1,Packers,0,2,2,Cowboys,166,7,31.0,DST,39,4.0,0,205,2,0
18,2010,11,Tashard Choice,0,0,Lions,0,0,0,0,0,0,1.0,RB,0,0,14,2,0,2,0,7,0,Lions,0,1,0,Cowboys,131,35,6.0,DST,134,2.0,1,265,0,1
19,2010,12,Tashard Choice,0,0,Saints,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,1,1,1,0,Saints,0,2,1,Cowboys,313,27,8.0,DST,144,1.0,0,457,0,1
20,2010,13,Tashard Choice,0,0,Colts,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,19,1,100,1,Colts,1,0,0,Cowboys,151,38,10.0,DST,217,2.0,0,368,1,0
21,2010,14,Tashard Choice,0,0,Eagles,0,0,0,0,0,0,2.0,RB,0,0,17,1,0,7,0,16,0,Eagles,0,0,2,Cowboys,239,27,6.0,DST,110,1.0,0,349,0,1
22,2010,15,Tashard Choice,0,0,Redskins,0,0,0,0,0,0,14.0,RB,0,0,31,4,0,15,1,53,0,Redskins,0,0,0,Cowboys,300,33,2.0,DST,134,2.0,0,434,0,1
23,2010,16,Tashard Choice,0,0,Cardinals,0,0,0,0,0,0,2.0,RB,0,0,16,3,0,4,0,16,1,Cardinals,0,1,2,Cowboys,199,26,24.0,DST,183,5.0,0,382,2,0
24,2010,17,Tashard Choice,0,0,Eagles,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,7,0,20,1,Eagles,0,1,0,Cowboys,113,14,8.0,DST,159,2.0,0,272,0,0
25,2013,2,Tashard Choice,0,0,Panthers,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,0,0,0,0,Panthers,0,1,1,Bills,287,24,6.0,DST,149,1.0,0,436,0,1
26,2013,3,Tashard Choice,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,-1,1,Jets,0,0,0,Bills,208,20,12.0,DST,120,8.0,0,328,0,0
