,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,1,Terrelle Pryor,0,0,Colts,0,29,19,2,1,217,21.0,QB,0,0,0,0,0,13,0,112,1,Colts,0,0,2,Raiders,201,17,9.0,DST,171,1.0,0,372,0,0
1,2013,2,Terrelle Pryor,0,0,Jaguars,0,24,15,0,0,126,10.0,QB,0,0,0,0,0,9,0,50,0,Jaguars,0,1,0,Raiders,114,19,9.0,DST,226,3.0,0,340,0,1
2,2013,3,Terrelle Pryor,0,0,Broncos,0,28,19,0,1,281,20.0,QB,0,0,0,0,0,4,0,36,1,Broncos,0,0,0,Raiders,293,21,4.0,DST,49,3.0,0,342,0,0
3,2013,5,Terrelle Pryor,0,0,Chargers,0,23,18,0,2,221,23.0,QB,0,0,0,0,0,11,0,31,0,Chargers,0,0,0,Raiders,195,27,5.0,DST,104,4.0,0,299,0,1
4,2013,6,Terrelle Pryor,0,0,Chiefs,0,34,18,3,1,216,13.0,QB,0,0,0,0,0,7,0,56,1,Chiefs,0,0,3,Raiders,153,7,28.0,DST,121,9.0,0,274,1,0
5,2013,8,Terrelle Pryor,0,0,Steelers,0,19,10,2,0,88,15.0,QB,0,0,0,0,0,9,1,106,0,Steelers,0,1,2,Raiders,82,21,9.0,DST,197,2.0,0,279,0,1
6,2013,9,Terrelle Pryor,0,0,Eagles,0,41,22,2,0,288,16.0,QB,0,0,0,0,0,10,0,94,0,Eagles,0,0,2,Raiders,350,20,11.0,DST,210,3.0,0,560,0,1
7,2013,10,Terrelle Pryor,0,1,Giants,0,26,11,1,0,122,8.0,QB,0,0,0,0,0,5,1,19,1,Giants,1,1,1,Raiders,106,20,20.0,DST,107,4.0,0,213,1,0
8,2013,14,Terrelle Pryor,0,0,Jets,0,5,2,0,0,20,0.0,QB,0,0,0,0,0,3,0,4,1,Jets,1,0,1,Raiders,233,27,14.0,DST,150,3.0,0,383,1,0
9,2013,15,Terrelle Pryor,0,0,Chiefs,0,5,1,1,0,12,-1.0,QB,0,0,0,0,0,3,0,19,0,Chiefs,0,2,5,Raiders,331,31,20.0,DST,130,0.0,0,461,1,1
10,2013,17,Terrelle Pryor,0,1,Broncos,0,38,21,0,2,207,23.0,QB,0,0,0,0,0,9,0,49,0,Broncos,0,1,0,Raiders,191,14,8.0,DST,64,2.0,0,255,0,1
