,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4438,2015.0,2,Terron Ward,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
4564,2015.0,4,Terron Ward,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
4786,2015.0,6,Terron Ward,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,7.0,RB,0.0,0.0,13.5,1.0,0.0,9.5,0.5,36.0,0.5
4866,2015.0,7,Terron Ward,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,RB,0.0,0.0,11.333333333333334,1.0,0.0,6.333333333333333,0.3333333333333333,24.0,0.6666666666666666
4946,2015.0,8,Terron Ward,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,10.25,1.0,0.0,4.75,0.25,18.0,0.75
5150,2015.0,11,Terron Ward,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,2.8,RB,0.0,0.0,9.8,1.0,0.0,3.8,0.2,14.4,0.6
5243,2015.0,12,Terron Ward,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.0,10.833333333333334,1.3333333333333333,0.0,3.5,0.16666666666666666,12.333333333333334,0.5
5604,2015.0,16,Terron Ward,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,RB,0.0,0.0,10.428571428571429,1.2857142857142858,0.0,3.7142857142857144,0.14285714285714285,11.571428571428571,0.42857142857142855
5682,2015.0,17,Terron Ward,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,1.875,RB,0.0,0.0,9.125,1.125,0.0,3.5,0.125,10.5,0.375
2059,2016.0,8,Terron Ward,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,11.0,1.0,0.0,6.0,0.0,46.0,0.0
2131,2016.0,9,Terron Ward,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,11.0,1.0,0.0,6.0,0.0,46.0,0.0
2223,2016.0,10,Terron Ward,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.0,5.5,0.5,0.0,7.0,0.0,38.0,0.5
2531,2016.0,14,Terron Ward,0.0,0.0,LA,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,RB,0.0,0.0,3.6666666666666665,0.3333333333333333,0.0,5.0,0.0,25.0,0.6666666666666666
2597,2016.0,15,Terron Ward,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.0,2.75,0.25,0.0,6.25,0.0,24.75,0.75
