,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Will Johnson,0,0,Patriots,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,4,1,7,1,Patriots,0,0,1,Steelers,330,21,6.0,DST,134,3.0,0,464,0,0
1,2015,12,Will Johnson,0,0,Seahawks,0,0,0,0,0,0,1.0,RB,0,0,16,2,0,0,0,0,1,Seahawks,0,0,4,Steelers,480,30,10.0,DST,58,2.0,0,538,0,0
2,2015,13,Will Johnson,0,0,Colts,0,0,0,0,0,0,2.0,RB,1,0,0,0,0,0,0,0,0,Colts,0,2,0,Steelers,364,45,4.0,DST,158,0.0,0,522,0,1
3,2013,3,Will Johnson,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,0,Bears,0,3,2,Steelers,379,23,26.0,DST,80,3.0,0,459,2,1
4,2013,6,Will Johnson,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,2,2,0,0,0,0,1,Jets,0,0,0,Steelers,255,19,8.0,DST,73,4.0,0,328,0,0
5,2013,11,Will Johnson,0,0,Lions,0,0,0,0,0,0,6.0,RB,0,1,1,1,0,0,0,0,0,Lions,0,0,0,Steelers,358,37,1.0,DST,40,1.0,0,398,0,1
6,2013,12,Will Johnson,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,0,0,0,1,Browns,0,0,0,Steelers,217,27,1.0,DST,85,0.0,0,302,0,0
7,2013,14,Will Johnson,0,0,Dolphins,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,0,0,0,0,Dolphins,1,1,0,Steelers,328,28,7.0,DST,84,3.0,0,412,0,1
8,2013,16,Will Johnson,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,6,1,0,0,0,0,1,Packers,0,1,1,Steelers,192,38,5.0,DST,151,1.0,0,343,0,0
9,2013,17,Will Johnson,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,0,0,0,0,Browns,0,0,2,Steelers,172,20,9.0,DST,120,1.0,0,292,0,1
10,2014,4,Will Johnson,0,0,Buccaneers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,0,0,Buccaneers,0,1,0,Steelers,305,24,8.0,DST,85,5.0,0,390,0,1
11,2014,5,Will Johnson,0,0,Jaguars,0,0,0,0,0,0,1.0,RB,0,0,12,1,0,1,0,0,1,Jaguars,0,1,0,Steelers,261,17,10.0,DST,111,4.0,0,372,0,0
12,2014,8,Will Johnson,0,0,Colts,0,0,0,0,0,0,2.0,RB,0,0,22,2,0,0,0,0,0,Colts,1,2,0,Steelers,522,51,6.0,DST,117,0.0,0,639,0,1
13,2014,9,Will Johnson,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,0,0,0,0,Ravens,0,1,0,Steelers,321,43,11.0,DST,55,3.0,0,376,1,1
14,2014,10,Will Johnson,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,-5,1,0,0,0,0,1,Jets,0,2,2,Steelers,326,13,17.0,DST,36,2.0,0,362,0,0
15,2014,17,Will Johnson,0,0,Bengals,0,0,0,0,0,0,1.0,RB,0,0,11,1,0,0,0,0,0,Bengals,0,1,2,Steelers,317,27,7.0,DST,29,0.0,0,346,0,1
