,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
0,2012,1,Jimmy Graham,0,0,Redskins,0,0,0,0,0,0,14.0,TE,0,1,85,6,0,0,0,0,0
1,2012,1,Dennis Pitta,0,0,Bengals,0,0,0,0,0,0,13.0,TE,0,1,73,5,0,0,0,0,0
2,2012,1,Rob Gronkowski,0,0,Titans,0,0,0,0,0,0,12.0,TE,0,1,60,6,0,0,0,0,1
3,2012,1,Heath Miller,0,0,Broncos,0,0,0,0,0,0,11.0,TE,0,1,50,4,0,0,0,0,1
4,2012,1,Marcedes Lewis,0,0,Min,0,0,0,0,0,0,11.0,TE,0,1,52,5,0,0,0,0,1
5,2012,1,Aaron Hernandez,0,0,Titans,0,0,0,0,0,0,11.0,TE,0,1,59,6,0,1,0,5,1
6,2012,1,Tony Gonzalez,0,0,Chiefs,0,0,0,0,0,0,11.0,TE,0,1,53,5,0,0,0,0,1
7,2012,1,Jacob Tamme,0,0,Steelers,0,0,0,0,0,0,10.0,TE,0,1,43,5,0,0,0,0,0
8,2012,1,Jermichael Finley,0,0,49ers,0,0,0,0,0,0,10.0,TE,0,1,47,7,0,0,0,0,0
9,2012,1,Vernon Davis,0,0,Packers,0,0,0,0,0,0,10.0,TE,0,1,43,3,0,0,0,0,1
10,2012,1,Martellus Bennett,0,0,Cowboys,0,0,0,0,0,0,10.0,TE,0,1,40,4,0,0,0,0,0
11,2012,1,Scott Chandler,0,0,Jets,0,0,0,0,0,0,9.0,TE,0,1,38,4,0,0,0,0,1
12,2012,1,Kevin Boss,0,0,Falcons,0,0,0,0,0,0,9.0,TE,0,1,36,2,0,0,0,0,0
13,2012,1,Coby Fleener,0,0,Bears,0,0,0,0,0,0,8.0,TE,0,0,82,6,0,0,0,0,1
14,2012,1,Owen Daniels,0,0,Dolphins,0,0,0,0,0,0,8.0,TE,0,0,87,4,0,0,0,0,0
15,2012,1,Brandon Pettigrew,0,0,Rams,0,0,0,0,0,0,7.0,TE,0,0,77,5,0,0,0,0,0
16,2012,1,Clay Harbor,0,0,Browns,0,0,0,0,0,0,7.0,TE,0,1,16,3,0,0,0,0,1
17,2012,1,Kyle Rudolph,0,0,Jaguars,0,0,0,0,0,0,6.0,TE,0,0,67,5,0,0,0,0,0
18,2012,1,Brandon Myers,0,0,Chargers,0,0,0,0,0,0,6.0,TE,0,0,65,5,0,0,0,0,0
