,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1795,2014,1,Andrew Luck,0,0,Broncos,0,53,35,2,2,370,29.0,QB,0,0,0,0,0,5,1,19,1
1831,2014,2,Andrew Luck,0,0,Eagles,0,34,20,1,3,172,24.0,QB,0,0,0,0,0,4,0,20,0
1862,2014,3,Andrew Luck,0,0,Jaguars,0,39,31,0,4,370,39.0,QB,0,0,0,0,0,3,0,15,1
1904,2014,4,Andrew Luck,0,0,Titans,0,41,29,1,4,393,37.0,QB,0,0,0,0,0,1,0,-1,0
1947,2014,5,Andrew Luck,0,0,Ravens,0,49,32,2,1,312,22.0,QB,0,0,0,0,0,6,1,22,0
1980,2014,6,Andrew Luck,0,1,Texans,0,44,25,1,3,370,30.0,QB,0,0,0,0,0,7,0,18,1
2012,2014,7,Andrew Luck,0,1,Bengals,0,42,27,0,2,344,24.0,QB,0,0,0,0,0,4,0,5,0
2044,2014,8,Andrew Luck,0,0,Steelers,0,45,26,2,3,400,32.0,QB,0,0,0,0,0,3,0,26,1
2078,2014,9,Andrew Luck,0,0,Giants,0,46,25,0,4,354,38.0,QB,0,0,0,0,0,2,0,5,1
2146,2014,11,Andrew Luck,0,0,Patriots,0,39,23,1,2,303,23.0,QB,0,0,0,0,0,3,0,15,0
2184,2014,12,Andrew Luck,0,2,Jaguars,0,32,21,0,1,253,18.0,QB,0,0,0,0,0,8,0,49,0
2203,2014,13,Andrew Luck,0,1,Redskins,0,27,19,1,5,370,43.0,QB,0,0,0,0,0,4,0,20,0
2247,2014,14,Andrew Luck,0,1,Browns,0,53,24,2,2,294,27.0,QB,0,0,0,0,0,5,1,37,1
2280,2014,15,Andrew Luck,0,0,Texans,0,34,18,1,2,187,18.0,QB,0,0,0,0,0,8,0,18,0
2347,2014,16,Andrew Luck,0,0,Cowboys,0,22,15,2,0,109,0.0,QB,0,0,0,0,0,0,0,0,1
2362,2014,17,Andrew Luck,0,0,Titans,0,16,10,0,2,160,18.0,QB,0,0,0,0,0,1,0,5,1
