,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
847,2014.0,1,Andrew Quarless,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,1.0
918,2014.0,2,Andrew Quarless,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,1.0
928,2014.0,3,Andrew Quarless,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.5
1046,2014.0,5,Andrew Quarless,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.3333333333333333,25.666666666666668,2.6666666666666665,0.0,0.0,0.0,0.0,0.6666666666666666
1075,2014.0,6,Andrew Quarless,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,3.25,TE,0.0,0.25,24.0,2.5,0.0,0.0,0.0,0.0,0.5
1151,2014.0,7,Andrew Quarless,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.4,21.4,2.4,0.0,0.0,0.0,0.0,0.6
1191,2014.0,8,Andrew Quarless,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,TE,0.0,0.3333333333333333,19.333333333333332,2.1666666666666665,0.0,0.0,0.0,0.0,0.5
1254,2014.0,10,Andrew Quarless,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.2857142857142857,19.285714285714285,2.142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714
1301,2014.0,11,Andrew Quarless,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,3.5,TE,0.0,0.375,18.125,2.125,0.0,0.0,0.0,0.0,0.5
1345,2014.0,12,Andrew Quarless,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,3.4444444444444446,TE,0.0,0.3333333333333333,20.0,2.111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444
1411,2014.0,13,Andrew Quarless,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,3.6,TE,0.0,0.3,23.0,2.1,0.0,0.0,0.0,0.0,0.5
1444,2014.0,14,Andrew Quarless,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.3636363636363638,TE,0.0,0.2727272727272727,22.454545454545453,2.090909090909091,0.0,0.0,0.0,0.0,0.45454545454545453
1518,2014.0,15,Andrew Quarless,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,3.5,TE,0.0,0.25,24.916666666666668,2.1666666666666665,0.0,0.0,0.0,0.0,0.4166666666666667
1558,2014.0,16,Andrew Quarless,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,3.230769230769231,TE,0.0,0.23076923076923078,23.53846153846154,2.076923076923077,0.0,0.0,0.0,0.0,0.46153846153846156
