,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
598,2015,1,Andy Dalton,0,0,Raiders,0,34,25,0,2,269,22.0,QB,0,0,0,0,0,4,0,1,1
634,2015,2,Andy Dalton,0,0,Chargers,0,26,16,0,3,214,27.0,QB,0,0,0,0,0,5,0,10,0
662,2015,3,Andy Dalton,0,1,Ravens,0,32,20,1,3,383,37.0,QB,0,0,0,0,0,5,1,10,1
710,2015,4,Andy Dalton,0,0,Chiefs,0,24,17,0,1,321,19.0,QB,0,0,0,0,0,3,0,16,0
733,2015,5,Andy Dalton,0,0,Seahawks,0,44,30,1,2,331,30.0,QB,0,0,0,0,0,7,1,18,0
769,2015,6,Andy Dalton,0,0,Bills,0,33,22,0,3,243,27.0,QB,0,0,0,0,0,3,0,-2,1
843,2015,8,Andy Dalton,0,0,Steelers,0,38,23,2,1,231,11.0,QB,0,0,0,0,0,6,0,4,1
861,2015,9,Andy Dalton,0,0,Browns,0,27,21,0,3,234,27.0,QB,0,0,0,0,0,6,0,5,0
911,2015,10,Andy Dalton,0,0,Texans,0,38,22,1,0,197,8.0,QB,0,0,0,0,0,4,0,31,0
923,2015,11,Andy Dalton,0,1,Cardinals,0,39,22,0,2,315,26.0,QB,0,0,0,0,0,8,0,34,1
959,2015,12,Andy Dalton,0,0,Rams,0,27,20,1,3,233,25.0,QB,0,0,0,0,0,2,0,4,0
999,2015,13,Andy Dalton,0,0,Browns,0,19,14,0,2,220,27.0,QB,0,0,0,0,0,4,1,11,1
1061,2015,14,Andy Dalton,0,0,Steelers,0,5,3,1,0,59,0.0,QB,0,0,0,0,0,0,0,0,0
