,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3302,2010,1,Bo Scaife,0,0,Raiders,0,0,0,0,0,0,9.0,TE,0,1,37,3,0,0,0,0,0
3373,2010,2,Bo Scaife,0,0,Steelers,0,0,0,0,0,0,2.0,TE,0,0,20,3,0,0,0,0,0
3425,2010,3,Bo Scaife,0,0,Giants,0,0,0,0,0,0,2.0,TE,0,0,23,2,0,0,0,0,1
3474,2010,4,Bo Scaife,0,0,Broncos,0,0,0,0,0,0,2.0,TE,0,0,27,2,0,0,0,0,0
3525,2010,5,Bo Scaife,0,0,Cowboys,0,0,0,0,0,0,1.0,TE,0,0,12,2,0,0,0,0,1
3544,2010,6,Bo Scaife,0,0,Jaguars,0,0,0,0,0,0,11.0,TE,0,1,53,4,0,0,0,0,1
3624,2010,7,Bo Scaife,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,7,3,0,0,0,0,0
3734,2010,10,Bo Scaife,0,1,Dolphins,0,0,0,0,0,0,4.0,TE,0,0,51,7,0,0,0,0,1
3776,2010,11,Bo Scaife,0,0,Redskins,0,0,0,0,0,0,5.0,TE,0,0,51,4,0,0,0,0,0
3848,2010,12,Bo Scaife,0,0,Texans,0,0,0,0,0,0,1.0,TE,0,0,10,1,0,0,0,0,1
3904,2010,13,Bo Scaife,0,0,Jaguars,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,0
3919,2010,14,Bo Scaife,0,0,Colts,0,0,0,0,0,0,14.0,TE,0,2,20,4,0,0,0,0,0
