,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
774,2012,16,Chris Cooley,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,8,1,0,0,0,0,1
3306,2010,1,Chris Cooley,0,0,Cowboys,0,0,0,0,0,0,8.0,TE,0,0,80,6,0,0,0,0,0
3352,2010,2,Chris Cooley,0,0,Texans,0,0,0,0,0,0,12.0,TE,0,1,64,3,0,0,0,0,0
3416,2010,3,Chris Cooley,0,0,Rams,0,0,0,0,0,0,5.0,TE,0,0,53,5,0,0,0,0,1
3458,2010,4,Chris Cooley,0,0,Eagles,0,0,0,0,0,0,9.0,TE,0,1,37,2,0,0,0,0,1
3506,2010,5,Chris Cooley,0,0,Packers,0,0,0,0,0,0,6.0,TE,0,0,69,7,0,0,0,0,0
3562,2010,6,Chris Cooley,0,0,Colts,0,0,0,0,0,0,3.0,TE,0,0,37,5,0,0,0,0,0
3602,2010,7,Chris Cooley,0,0,Bears,0,0,0,0,0,0,5.0,TE,0,0,52,7,0,0,0,0,1
3645,2010,8,Chris Cooley,0,0,Lions,0,0,0,0,0,0,4.0,TE,0,0,48,4,0,0,0,0,1
3744,2010,10,Chris Cooley,0,0,Eagles,0,0,0,0,0,0,2.0,TE,0,0,23,3,0,0,0,0,0
3766,2010,11,Chris Cooley,0,0,Titans,0,0,0,0,0,0,9.0,TE,0,0,91,7,0,0,0,0,1
3835,2010,12,Chris Cooley,0,0,Min,0,0,0,0,0,0,4.0,TE,0,0,49,5,0,0,0,0,0
3877,2010,13,Chris Cooley,0,1,Giants,0,0,0,0,0,0,5.0,TE,0,0,61,6,0,0,0,0,1
3943,2010,14,Chris Cooley,0,0,Buccaneers,0,0,0,0,0,0,2.0,TE,0,0,22,2,0,0,0,0,0
3972,2010,15,Chris Cooley,0,0,Cowboys,0,0,0,0,0,0,14.0,TE,1,1,62,5,0,0,0,0,1
4042,2010,16,Chris Cooley,0,0,Jaguars,0,0,0,0,0,0,4.0,TE,0,0,48,5,0,0,0,0,1
4086,2010,17,Chris Cooley,0,0,Giants,0,0,0,0,0,0,5.0,TE,0,0,53,5,0,0,0,0,0
4982,2011,1,Chris Cooley,0,0,Giants,0,0,0,0,0,0,2.0,TE,0,0,21,2,0,0,0,0,0
5071,2011,3,Chris Cooley,0,0,Cowboys,0,0,0,0,0,0,4.0,TE,0,0,41,4,0,2,0,3,1
5154,2011,4,Chris Cooley,0,0,Rams,0,0,0,0,0,0,0.0,TE,0,0,4,1,0,0,0,0,1
5243,2011,6,Chris Cooley,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,-1,1,0,0,0,0,0
