,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1102,2014,6,Crockett Gillmore,0,0,Buccaneers,0,0,0,0,0,0,1.0,TE,0,0,16,2,0,0,0,0,1
1147,2014,7,Crockett Gillmore,0,0,Falcons,0,0,0,0,0,0,1.0,TE,0,0,13,1,0,0,0,0,0
1189,2014,8,Crockett Gillmore,0,0,Bengals,0,0,0,0,0,0,2.0,TE,0,0,23,2,0,0,0,0,1
1222,2014,9,Crockett Gillmore,0,0,Steelers,0,0,0,0,0,0,6.0,TE,0,1,1,1,0,0,0,0,1
1497,2014,15,Crockett Gillmore,0,0,Jaguars,0,0,0,0,0,0,3.0,TE,0,0,37,2,0,0,0,0,0
1573,2014,16,Crockett Gillmore,0,0,Texans,0,0,0,0,0,0,0.0,TE,0,0,9,1,0,0,0,0,1
1611,2014,17,Crockett Gillmore,0,0,Browns,0,0,0,0,0,0,2.0,TE,0,0,22,1,0,0,0,0,0
2464,2015,1,Crockett Gillmore,0,0,Broncos,0,0,0,0,0,0,2.0,TE,0,0,23,2,0,0,0,0,1
2485,2015,2,Crockett Gillmore,0,0,Raiders,0,0,0,0,0,0,20.0,TE,0,2,88,5,0,0,0,0,1
2549,2015,3,Crockett Gillmore,0,0,Bengals,0,0,0,0,0,0,4.0,TE,0,0,40,3,0,0,0,0,0
2691,2015,6,Crockett Gillmore,0,0,49ers,0,0,0,0,0,0,3.0,TE,0,0,30,3,0,0,0,0,1
2732,2015,7,Crockett Gillmore,0,0,Cardinals,0,0,0,0,0,0,5.0,TE,0,0,53,5,0,0,0,0,1
2778,2015,8,Crockett Gillmore,0,0,Chargers,0,0,0,0,0,0,6.0,TE,0,1,8,2,0,0,0,0,0
2868,2015,10,Crockett Gillmore,0,0,Jaguars,0,0,0,0,0,0,10.0,TE,0,1,42,4,0,0,0,0,0
2920,2015,11,Crockett Gillmore,0,0,Rams,0,0,0,0,0,0,10.0,TE,0,0,101,5,0,0,0,0,0
2996,2015,12,Crockett Gillmore,0,0,Browns,0,0,0,0,0,0,2.0,TE,0,0,20,3,0,0,0,0,1
3078,2015,13,Crockett Gillmore,0,0,Dolphins,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1
4164,2016,1,Crockett Gillmore,0,0,Bills,0,0,0,0,0,0,0.0,TE,0,0,5,1,0,0,0,0,0
4204,2016,2,Crockett Gillmore,0,0,Browns,0,0,0,0,0,0,2.0,TE,0,0,22,1,0,0,0,0,1
4306,2016,4,Crockett Gillmore,0,0,Raiders,0,0,0,0,0,0,1.0,TE,0,0,16,2,0,0,0,0,0
4325,2016,5,Crockett Gillmore,0,0,Redskins,0,0,0,0,0,0,8.0,TE,0,1,28,4,0,0,0,0,0
