,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3332,2010.0,1,Daniel Fells,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
3372,2010.0,2,Daniel Fells,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
3410,2010.0,3,Daniel Fells,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,25.5,2.5,0.0,0.0,0.0,0.0,0.5
3473,2010.0,4,Daniel Fells,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.3333333333333333,24.333333333333332,2.6666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333
3516,2010.0,5,Daniel Fells,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,3.75,TE,0.0,0.25,27.0,2.75,0.0,0.0,0.0,0.0,0.25
3587,2010.0,6,Daniel Fells,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,3.6,TE,0.0,0.2,28.0,2.8,0.0,0.0,0.0,0.0,0.4
3629,2010.0,7,Daniel Fells,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.16666666666666666,24.666666666666668,2.5,0.0,0.0,0.0,0.0,0.3333333333333333
3639,2010.0,8,Daniel Fells,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,TE,0.0,0.14285714285714285,21.857142857142858,2.2857142857142856,0.0,0.0,0.0,0.0,0.42857142857142855
3749,2010.0,10,Daniel Fells,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,3.375,TE,0.0,0.25,23.5,2.5,0.0,0.0,0.0,0.0,0.375
3798,2010.0,11,Daniel Fells,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.111111111111111,TE,0.0,0.2222222222222222,22.11111111111111,2.4444444444444446,0.0,0.0,0.0,0.0,0.4444444444444444
3845,2010.0,12,Daniel Fells,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,2.9,TE,0.0,0.2,21.0,2.3,0.0,0.0,0.0,0.0,0.4
3901,2010.0,13,Daniel Fells,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,2.8181818181818183,TE,0.0,0.18181818181818182,21.181818181818183,2.272727272727273,0.0,0.0,0.0,0.0,0.45454545454545453
3942,2010.0,14,Daniel Fells,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,TE,0.0,0.16666666666666666,20.916666666666668,2.3333333333333335,0.0,0.0,0.0,0.0,0.5
3985,2010.0,15,Daniel Fells,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,2.6153846153846154,TE,0.0,0.15384615384615385,21.307692307692307,2.3846153846153846,0.0,0.0,0.0,0.0,0.5384615384615384
4048,2010.0,16,Daniel Fells,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,TE,0.0,0.14285714285714285,23.142857142857142,2.5,0.0,0.0,0.0,0.0,0.5
4092,2010.0,17,Daniel Fells,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,TE,0.0,0.13333333333333333,23.466666666666665,2.533333333333333,0.0,0.0,0.0,0.0,0.4666666666666667
