,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1645,2013,1,Delanie Walker,0,0,Steelers,0,0,0,0,0,0,4.0,TE,0,0,40,3,0,0,0,0,1
1686,2013,2,Delanie Walker,0,0,Texans,0,0,0,0,0,0,7.0,TE,0,1,10,1,0,0,0,0,1
1739,2013,3,Delanie Walker,0,0,Chargers,0,0,0,0,0,0,4.0,TE,0,0,49,5,0,0,0,0,0
1786,2013,4,Delanie Walker,0,0,Jets,0,0,0,0,0,0,7.0,TE,0,1,14,3,0,0,0,0,0
1844,2013,5,Delanie Walker,0,0,Chiefs,0,0,0,0,0,0,4.0,TE,0,0,43,4,0,0,0,0,0
1882,2013,6,Delanie Walker,0,0,Seahawks,0,0,0,0,0,0,2.0,TE,0,0,29,4,0,0,0,0,1
1908,2013,7,Delanie Walker,0,0,49ers,0,0,0,0,0,0,11.0,TE,0,1,52,3,0,0,0,0,0
2024,2013,9,Delanie Walker,0,0,Rams,0,0,0,0,0,0,1.0,TE,0,0,13,2,0,0,0,0,1
2038,2013,10,Delanie Walker,0,0,Jaguars,0,0,0,0,0,0,12.0,TE,0,1,62,4,0,0,0,0,0
2084,2013,11,Delanie Walker,0,0,Colts,0,0,0,0,0,0,15.0,TE,0,1,91,10,0,0,0,0,0
2154,2013,12,Delanie Walker,0,0,Raiders,0,0,0,0,0,0,4.0,TE,0,0,46,5,0,0,0,0,1
2220,2013,13,Delanie Walker,0,0,Colts,0,0,0,0,0,0,0.0,TE,0,0,5,1,0,0,0,0,1
2288,2013,15,Delanie Walker,0,0,Cardinals,0,0,0,0,0,0,11.0,TE,0,1,53,8,0,0,0,0,0
2350,2013,16,Delanie Walker,0,0,Jaguars,0,0,0,0,0,0,3.0,TE,0,0,35,4,0,0,0,0,1
2411,2013,17,Delanie Walker,0,0,Texans,0,0,0,0,0,0,2.0,TE,0,0,29,3,0,0,0,0,0
