,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Delanie Walker,0,0,Buccaneers,0,0,0,0,0,0,10.0,TE,0,1,43,3,0,0,0,0,1,Buccaneers,0,1,0,Titans,185,42,4.0,DST,124,2.0,0,309,0,0
1,2015,3,Delanie Walker,0,0,Colts,0,0,0,0,0,0,6.0,TE,0,0,68,7,0,0,0,0,0,Colts,0,0,2,Titans,345,33,13.0,DST,88,3.0,0,433,1,1
2,2015,5,Delanie Walker,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,36,4,0,0,0,0,0,Bills,0,0,1,Titans,179,13,11.0,DST,97,2.0,0,276,0,1
3,2015,6,Delanie Walker,0,0,Dolphins,0,0,0,0,0,0,9.0,TE,0,0,97,8,0,0,0,0,0,Dolphins,0,2,2,Titans,236,10,27.0,DST,63,6.0,0,299,1,1
4,2015,7,Delanie Walker,0,0,Falcons,0,0,0,0,0,0,5.0,TE,0,0,55,7,0,0,0,0,0,Falcons,0,0,2,Titans,179,7,12.0,DST,77,1.0,0,256,0,1
5,2015,8,Delanie Walker,0,0,Texans,0,0,0,0,0,0,6.0,TE,0,0,62,6,0,0,0,0,1,Texans,0,2,1,Titans,125,6,23.0,DST,86,7.0,0,211,0,0
6,2015,9,Delanie Walker,0,0,Saints,0,0,0,0,0,0,23.0,TE,1,2,95,7,0,0,0,0,1,Saints,0,1,0,Titans,371,34,2.0,DST,112,0.0,0,483,0,0
7,2015,10,Delanie Walker,0,0,Panthers,0,0,0,0,0,0,5.0,TE,0,0,52,3,0,0,0,0,0,Panthers,0,1,1,Titans,178,10,12.0,DST,64,1.0,0,242,0,1
8,2015,11,Delanie Walker,0,0,Jaguars,0,0,0,0,0,0,10.0,TE,0,0,109,8,0,0,0,0,1,Jaguars,0,1,0,Titans,212,13,13.0,DST,104,4.0,0,316,0,0
9,2015,12,Delanie Walker,0,0,Raiders,0,0,0,0,0,0,9.0,TE,0,0,91,6,0,0,0,0,0,Raiders,1,0,2,Titans,205,21,9.0,DST,44,2.0,0,249,0,1
10,2015,13,Delanie Walker,0,0,Jaguars,0,0,0,0,0,0,15.0,TE,0,1,92,8,0,0,0,0,0,Jaguars,0,1,1,Titans,257,42,8.0,DST,210,4.0,0,467,0,1
11,2015,14,Delanie Walker,0,0,Jets,0,0,0,0,0,0,7.0,TE,0,0,71,7,0,0,0,0,1,Jets,0,0,1,Titans,268,8,14.0,DST,24,5.0,0,292,0,0
12,2015,15,Delanie Walker,0,0,Patriots,0,0,0,0,0,0,18.0,TE,0,2,64,2,0,0,0,0,1,Patriots,0,1,2,Titans,223,16,21.0,DST,59,5.0,0,282,1,0
13,2015,16,Delanie Walker,0,0,Texans,0,0,0,0,0,0,5.0,TE,0,0,59,9,0,0,0,0,0,Texans,0,3,1,Titans,227,6,25.0,DST,30,1.0,0,257,1,1
14,2015,17,Delanie Walker,0,0,Colts,0,0,0,0,0,0,12.0,TE,0,0,94,9,0,1,0,36,1,Colts,0,0,1,Titans,94,24,13.0,DST,137,4.0,0,231,1,0
