,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4139,2016,1,Dennis Pitta,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,39,3,0,0,0,0,0
4175,2016,2,Dennis Pitta,0,0,Browns,0,0,0,0,0,0,10.0,TE,0,0,102,9,0,0,0,0,1
4240,2016,3,Dennis Pitta,0,0,Jaguars,0,0,0,0,0,0,4.0,TE,0,0,42,6,0,0,0,0,1
4299,2016,4,Dennis Pitta,0,0,Raiders,0,0,0,0,0,0,1.0,TE,0,0,17,3,0,0,0,0,0
4333,2016,5,Dennis Pitta,0,0,Redskins,0,0,0,0,0,0,5.0,TE,0,0,59,7,0,0,0,0,0
4379,2016,6,Dennis Pitta,0,0,Giants,0,0,0,0,0,0,3.0,TE,0,0,36,6,0,0,0,0,1
4424,2016,7,Dennis Pitta,0,0,Jets,0,0,0,0,0,0,4.0,TE,0,0,40,4,0,0,0,0,1
4540,2016,9,Dennis Pitta,0,0,Steelers,0,0,0,0,0,0,1.0,TE,0,0,14,2,0,0,0,0,0
4580,2016,10,Dennis Pitta,0,0,Browns,0,0,0,0,0,0,2.0,TE,0,0,26,6,0,0,0,0,0
4616,2016,11,Dennis Pitta,0,0,Cowboys,0,0,0,0,0,0,3.0,TE,0,0,30,3,0,0,0,0,1
4666,2016,12,Dennis Pitta,0,0,Bengals,0,0,0,0,0,0,3.0,TE,0,0,34,3,0,0,0,0,0
4692,2016,13,Dennis Pitta,0,1,Dolphins,0,0,0,0,0,0,20.0,TE,0,2,90,9,0,0,0,0,0
4769,2016,14,Dennis Pitta,0,0,Patriots,0,0,0,0,0,0,1.0,TE,0,0,18,4,0,0,0,0,1
4826,2016,15,Dennis Pitta,0,0,Eagles,0,0,0,0,0,0,1.0,TE,0,0,16,2,0,0,0,0,0
4860,2016,16,Dennis Pitta,0,0,Steelers,0,0,0,0,0,0,7.0,TE,0,0,75,8,0,0,0,0,1
4909,2016,17,Dennis Pitta,0,0,Bengals,0,0,0,0,0,0,9.0,TE,0,0,91,11,0,0,0,0,1
