,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Dustin Keller,0,0,Cowboys,0,0,0,0,0,0,12.0,TE,0,1,61,5,0,0,0,0,0,Cowboys,0,1,1,Jets,315,27,9.0,DST,45,4.0,0,360,0,1
1,2011,2,Dustin Keller,0,0,Jaguars,0,0,0,0,0,0,16.0,TE,0,1,101,6,0,0,0,0,0,Jaguars,0,0,2,Jets,182,32,5.0,DST,101,1.0,0,283,0,1
2,2011,3,Dustin Keller,0,0,Raiders,0,0,0,0,0,0,8.0,TE,0,0,87,5,0,0,0,0,1,Raiders,0,1,1,Jets,339,24,9.0,DST,100,4.0,0,439,0,0
3,2011,4,Dustin Keller,0,0,Ravens,0,0,0,0,0,0,1.0,TE,0,0,12,2,0,0,0,0,1,Ravens,0,3,1,Jets,112,17,32.0,DST,38,2.0,0,150,3,0
4,2011,5,Dustin Keller,0,0,Patriots,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1,Patriots,0,0,0,Jets,158,21,3.0,DST,97,2.0,0,255,0,0
5,2011,6,Dustin Keller,0,0,Dolphins,0,0,0,0,0,0,5.0,TE,0,0,51,2,0,0,0,0,0,Dolphins,0,1,0,Jets,192,24,5.0,DST,104,2.0,0,296,0,1
6,2011,7,Dustin Keller,0,1,Chargers,0,0,0,0,0,0,4.0,TE,0,0,53,4,0,0,0,0,0,Chargers,0,1,1,Jets,156,27,13.0,DST,162,2.0,0,318,1,1
7,2011,9,Dustin Keller,0,0,Bills,0,0,0,0,0,0,6.0,TE,0,0,64,4,0,0,0,0,1,Bills,0,1,1,Jets,222,27,6.0,DST,126,1.0,0,348,0,0
8,2011,10,Dustin Keller,0,0,Patriots,0,0,0,0,0,0,3.0,TE,0,0,37,2,0,0,0,0,0,Patriots,0,1,2,Jets,268,16,21.0,DST,110,5.0,0,378,1,1
9,2011,11,Dustin Keller,0,0,Broncos,0,0,0,0,0,0,4.0,TE,0,0,40,5,0,0,0,0,1,Broncos,0,1,1,Jets,235,13,20.0,DST,83,3.0,0,318,1,0
10,2011,12,Dustin Keller,0,0,Bills,0,0,0,0,0,0,18.0,TE,0,2,61,4,0,0,0,0,0,Bills,0,1,1,Jets,180,28,4.0,DST,138,0.0,0,318,0,1
11,2011,13,Dustin Keller,0,0,Redskins,0,0,0,0,0,0,1.0,TE,0,0,12,3,0,0,0,0,1,Redskins,0,1,0,Jets,165,34,2.0,DST,101,0.0,0,266,0,0
12,2011,14,Dustin Keller,0,0,Chiefs,0,0,0,0,0,0,3.0,TE,0,0,34,4,0,0,0,0,0,Chiefs,0,1,0,Jets,155,37,5.0,DST,159,3.0,0,314,0,1
13,2011,15,Dustin Keller,0,0,Eagles,0,0,0,0,0,0,7.0,TE,0,0,73,3,0,0,0,0,1,Eagles,0,2,2,Jets,147,19,22.0,DST,94,4.0,0,241,1,0
14,2011,16,Dustin Keller,0,0,Giants,0,0,0,0,0,0,7.0,TE,0,0,77,8,0,0,0,0,0,Giants,0,1,2,Jets,226,14,17.0,DST,105,5.0,1,331,0,1
15,2011,17,Dustin Keller,0,0,Dolphins,0,0,0,0,0,0,10.0,TE,0,1,45,7,0,0,0,0,1,Dolphins,0,0,3,Jets,245,17,12.0,DST,129,2.0,0,374,0,0
