,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,3,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,3.0,TE,0,0,35,5,0,0,0,0,0,Jaguars,0,0,1,Colts,313,17,6.0,DST,124,0.0,0,437,0,1
1,2012,5,Dwayne Allen,0,0,Packers,0,0,0,0,0,0,9.0,TE,0,1,38,4,0,0,0,0,0,Packers,0,0,1,Colts,345,30,6.0,DST,119,4.0,0,464,0,1
2,2012,6,Dwayne Allen,0,0,Jets,0,0,0,0,0,0,3.0,TE,0,0,33,2,0,0,0,0,1,Jets,0,2,2,Colts,257,9,19.0,DST,41,4.0,0,298,0,0
3,2012,7,Dwayne Allen,0,0,Browns,0,0,0,0,0,0,0.0,TE,0,0,9,1,0,0,0,0,0,Browns,0,1,0,Colts,173,17,9.0,DST,148,3.0,0,321,0,1
4,2012,8,Dwayne Allen,0,0,Titans,0,0,0,0,0,0,5.0,TE,0,0,56,4,0,0,0,0,1,Titans,1,0,1,Colts,286,19,10.0,DST,171,2.0,0,457,0,0
5,2012,9,Dwayne Allen,0,0,Dolphins,0,0,0,0,0,0,7.0,TE,0,0,75,6,0,0,0,0,0,Dolphins,1,0,0,Colts,419,23,4.0,DST,97,1.0,0,516,0,1
6,2012,10,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,3.0,TE,0,0,31,2,0,0,0,0,1,Jaguars,0,1,1,Colts,221,27,7.0,DST,138,2.0,0,359,0,0
7,2012,11,Dwayne Allen,0,0,Patriots,0,0,0,0,0,0,6.0,TE,0,0,69,6,0,0,0,0,1,Patriots,0,1,3,Colts,329,24,28.0,DST,119,1.0,0,448,3,0
8,2012,12,Dwayne Allen,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,36,3,0,0,0,0,0,Bills,0,1,1,Colts,225,20,12.0,DST,87,4.0,0,312,0,1
9,2012,13,Dwayne Allen,0,0,Lions,0,0,0,0,0,0,5.0,TE,0,0,50,2,0,0,0,0,1,Lions,0,0,3,Colts,372,35,8.0,DST,87,2.0,0,459,0,0
10,2012,14,Dwayne Allen,0,0,Titans,0,0,0,0,0,0,1.0,TE,0,0,11,1,0,0,0,0,0,Titans,0,0,2,Colts,171,27,15.0,DST,98,4.0,0,269,1,1
11,2012,15,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,9.0,TE,0,1,36,3,0,1,0,3,1,Texans,1,1,0,Colts,148,17,19.0,DST,124,5.0,0,272,1,0
12,2012,16,Dwayne Allen,0,0,Chiefs,0,0,0,0,0,0,1.0,TE,0,0,18,3,0,0,0,0,1,Chiefs,0,0,0,Colts,198,20,7.0,DST,90,3.0,0,288,0,0
13,2012,17,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,2.0,TE,0,0,21,2,0,1,0,2,0,Texans,0,0,0,Colts,184,28,1.0,DST,81,1.0,0,265,0,1
14,2014,1,Dwayne Allen,0,0,Broncos,0,0,0,0,0,0,12.0,TE,0,1,64,4,0,0,0,0,1,Broncos,0,0,2,Colts,354,24,8.0,DST,54,3.0,0,408,0,0
15,2014,3,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,10.0,TE,0,1,43,4,0,0,0,0,1,Jaguars,0,0,0,Colts,385,44,2.0,DST,144,2.0,0,529,0,0
16,2014,4,Dwayne Allen,0,0,Titans,0,0,0,0,0,0,9.0,TE,0,1,38,3,0,0,0,0,0,Titans,0,0,1,Colts,393,41,2.0,DST,105,0.0,0,498,0,1
17,2014,5,Dwayne Allen,0,0,Ravens,0,0,0,0,0,0,11.0,TE,0,1,59,4,0,0,0,0,0,Ravens,0,2,2,Colts,305,20,13.0,DST,127,1.0,0,432,0,1
18,2014,6,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,4.0,TE,0,0,49,3,0,0,0,0,1,Texans,0,1,1,Colts,363,33,13.0,DST,93,3.0,0,456,1,0
19,2014,7,Dwayne Allen,0,0,Bengals,0,0,0,0,0,0,11.0,TE,0,1,52,3,0,0,0,0,0,Bengals,0,2,0,Colts,335,27,7.0,DST,171,2.0,0,506,0,1
20,2014,8,Dwayne Allen,0,0,Steelers,0,0,0,0,0,0,8.0,TE,0,1,21,1,0,0,0,0,1,Steelers,0,0,2,Colts,385,34,14.0,DST,63,2.0,1,448,1,0
21,2014,9,Dwayne Allen,0,0,Giants,0,0,0,0,0,0,10.0,TE,0,1,48,4,0,0,0,0,1,Giants,0,0,0,Colts,345,40,1.0,DST,98,1.0,0,443,0,0
22,2014,14,Dwayne Allen,0,0,Browns,0,0,0,0,0,0,0.0,TE,0,0,5,1,0,0,0,0,1,Browns,0,2,2,Colts,269,25,24.0,DST,93,3.0,0,362,2,0
23,2014,15,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,7.0,TE,0,1,16,2,0,0,0,0,0,Texans,0,1,1,Colts,168,17,16.0,DST,110,2.0,0,278,1,1
24,2013,1,Dwayne Allen,0,0,Raiders,0,0,0,0,0,0,8.0,TE,0,1,20,1,0,0,0,0,0,Raiders,0,0,0,Colts,147,21,5.0,DST,127,4.0,0,274,0,1
25,2015,1,Dwayne Allen,0,0,Bills,0,0,0,0,0,0,7.0,TE,0,1,17,3,0,0,0,0,1,Bills,0,1,2,Colts,240,14,12.0,DST,64,2.0,0,304,0,0
26,2015,5,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,2.0,TE,0,0,21,1,0,0,0,0,1,Texans,0,0,0,Colts,213,27,1.0,DST,110,0.0,0,323,0,0
27,2015,6,Dwayne Allen,0,0,Patriots,0,0,0,0,0,0,2.0,TE,0,0,23,3,0,0,0,0,0,Patriots,1,0,0,Colts,289,27,6.0,DST,120,3.0,0,409,0,1
28,2015,7,Dwayne Allen,0,0,Saints,0,0,0,0,0,0,1.0,TE,0,0,10,1,0,0,0,0,0,Saints,0,1,2,Colts,301,21,11.0,DST,75,4.0,0,376,0,1
29,2015,8,Dwayne Allen,0,0,Panthers,0,0,0,0,0,0,0.0,TE,0,0,4,1,0,0,0,0,1,Panthers,0,1,3,Colts,223,26,11.0,DST,136,2.0,0,359,0,0
30,2015,11,Dwayne Allen,0,0,Falcons,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1,Falcons,0,1,2,Colts,202,24,9.0,DST,74,2.0,0,276,0,0
31,2015,12,Dwayne Allen,0,0,Buccaneers,0,0,0,0,0,0,1.0,TE,0,0,19,2,0,0,0,0,0,Buccaneers,0,0,0,Colts,309,25,4.0,DST,27,3.0,0,336,0,1
32,2015,13,Dwayne Allen,0,0,Steelers,0,0,0,0,0,0,0.0,TE,0,0,6,1,0,0,0,0,1,Steelers,0,1,2,Colts,186,10,24.0,DST,54,5.0,0,240,1,0
33,2015,14,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,0.0,TE,0,0,-3,2,0,0,0,0,1,Jaguars,0,1,1,Colts,227,16,23.0,DST,95,3.0,0,322,2,0
34,2015,15,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,0.0,TE,0,0,5,1,0,1,0,1,0,Texans,0,1,1,Colts,140,10,14.0,DST,50,3.0,0,190,0,1
35,2016,1,Dwayne Allen,0,0,Lions,0,0,0,0,0,0,13.0,TE,1,1,53,4,0,0,0,0,0,Lions,0,0,0,Colts,368,35,4.0,DST,82,2.0,1,450,0,1
36,2016,2,Dwayne Allen,0,0,Broncos,0,0,0,0,0,0,2.0,TE,0,0,25,2,0,0,0,0,1,Broncos,0,1,1,Colts,170,20,25.0,DST,83,5.0,0,253,2,0
37,2016,3,Dwayne Allen,0,0,Chargers,0,0,0,0,0,0,3.0,TE,0,0,35,3,0,0,0,0,0,Chargers,0,1,1,Colts,317,26,13.0,DST,93,2.0,0,410,1,1
38,2016,4,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,2.0,TE,0,0,20,2,0,0,0,0,1,Jaguars,0,0,1,Colts,190,27,9.0,DST,94,6.0,0,284,0,0
39,2016,5,Dwayne Allen,0,0,Bears,0,0,0,0,0,0,11.0,TE,0,1,50,6,0,0,0,0,0,Bears,0,0,0,Colts,298,29,5.0,DST,98,5.0,0,396,0,1
40,2016,6,Dwayne Allen,0,0,Texans,0,0,0,0,0,0,0.0,TE,0,0,9,1,0,0,0,0,1,Texans,0,0,1,Colts,231,23,6.0,DST,161,3.0,0,392,0,0
41,2016,9,Dwayne Allen,0,0,Packers,0,0,0,0,0,0,1.0,TE,0,0,15,1,0,0,0,0,1,Packers,0,0,2,Colts,270,31,6.0,DST,85,2.0,0,355,0,0
42,2016,12,Dwayne Allen,0,0,Steelers,0,0,0,0,0,0,4.0,TE,0,0,49,5,0,0,0,0,0,Steelers,0,0,2,Colts,219,7,14.0,DST,91,3.0,0,310,0,1
43,2016,13,Dwayne Allen,0,0,Jets,0,0,0,0,0,0,25.0,TE,0,3,72,4,0,0,0,0,1,Jets,0,1,0,Colts,282,41,3.0,DST,139,1.0,0,421,0,0
44,2016,16,Dwayne Allen,0,0,Raiders,0,0,0,0,0,0,3.0,TE,0,0,31,3,0,0,0,0,1,Raiders,0,1,2,Colts,288,25,7.0,DST,102,0.0,0,390,0,0
45,2016,17,Dwayne Allen,0,0,Jaguars,0,0,0,0,0,0,9.0,TE,0,1,34,3,0,0,0,0,0,Jaguars,1,1,1,Colts,290,24,11.0,DST,94,4.0,0,384,0,1
