,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4958,2011.0,1,Fred Davis,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TE,0.0,0.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0
5000,2011.0,2,Fred Davis,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,10.0,TE,0.0,0.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0
5079,2011.0,3,Fred Davis,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,12.0,TE,0.0,0.5,95.5,5.5,0.0,0.0,0.0,0.0,0.0
5126,2011.0,4,Fred Davis,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,TE,0.0,0.3333333333333333,71.33333333333333,4.0,0.0,0.0,0.0,0.0,0.3333333333333333
5206,2011.0,6,Fred Davis,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,7.25,TE,0.0,0.25,62.0,4.0,0.0,0.0,0.0,0.0,0.5
5247,2011.0,7,Fred Davis,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,7.6,TE,0.0,0.2,68.6,4.4,0.0,0.0,0.0,0.0,0.4
5295,2011.0,8,Fred Davis,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,TE,0.0,0.3333333333333333,70.5,4.666666666666667,0.0,0.0,0.0,0.0,0.5
5353,2011.0,9,Fred Davis,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714,TE,0.0,0.2857142857142857,73.85714285714286,5.142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714
5418,2011.0,10,Fred Davis,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,8.125,TE,0.0,0.25,69.875,5.0,0.0,0.0,0.0,0.0,0.5
5458,2011.0,11,Fred Davis,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,7.444444444444445,TE,0.0,0.2222222222222222,65.22222222222223,4.777777777777778,0.0,0.0,0.0,0.0,0.5555555555555556
5485,2011.0,12,Fred Davis,0.0,0.1,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,7.1,TE,0.0,0.2,63.9,4.9,0.0,0.0,0.0,0.0,0.5
5539,2011.0,13,Fred Davis,0.0,0.09090909090909091,Jets,0.0,0.0,0.0,0.0,0.0,0.0,7.454545454545454,TE,0.0,0.2727272727272727,63.36363636363637,4.818181818181818,0.0,0.0,0.0,0.0,0.5454545454545454
