,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1671,2013.0,1,Gary Barnidge,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
1823,2013.0,4,Gary Barnidge,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
1862,2013.0,5,Gary Barnidge,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0
1904,2013.0,6,Gary Barnidge,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,4.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0
1995,2013.0,8,Gary Barnidge,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,4.75,1.25,0.0,0.0,0.0,0.0,0.0
2008,2013.0,9,Gary Barnidge,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,4.4,1.2,0.0,0.0,0.0,0.0,0.2
2130,2013.0,11,Gary Barnidge,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.16666666666666666,4.333333333333333,1.1666666666666667,0.0,0.0,0.0,0.0,0.16666666666666666
2239,2013.0,14,Gary Barnidge,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.14285714285714285,5.428571428571429,1.1428571428571428,0.0,0.0,0.0,0.0,0.2857142857142857
2325,2013.0,15,Gary Barnidge,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,2.125,TE,0.0,0.25,10.875,1.25,0.0,0.0,0.0,0.0,0.375
2363,2013.0,16,Gary Barnidge,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.2222222222222222,11.555555555555555,1.2222222222222223,0.0,0.0,0.0,0.0,0.3333333333333333
