,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2014,1,Greg Olsen,0,0,Buccaneers,0,0,0,0,0,0,14.0,TE,0,1,83,8,0,0,0,0,1,Buccaneers,0,0,0,Panthers,221,20,5.0,DST,113,1.0,0,334,0,0
1,2014,2,Greg Olsen,0,0,Lions,0,0,0,0,0,0,7.0,TE,0,0,72,6,0,0,0,0,0,Lions,0,0,0,Panthers,251,24,5.0,DST,62,4.0,0,313,0,1
2,2014,3,Greg Olsen,0,0,Steelers,0,0,0,0,0,0,12.0,TE,0,1,69,5,0,0,0,0,0,Steelers,0,2,0,Panthers,307,19,17.0,DST,42,3.0,0,349,1,1
3,2014,4,Greg Olsen,0,0,Ravens,0,0,0,0,0,0,3.0,TE,0,0,30,2,0,0,0,0,1,Ravens,0,1,0,Panthers,248,10,11.0,DST,67,2.0,0,315,0,0
4,2014,5,Greg Olsen,0,0,Bears,0,0,0,0,0,0,19.0,TE,0,2,72,6,0,0,0,0,0,Bears,0,2,1,Panthers,231,31,8.0,DST,91,2.0,0,322,0,1
5,2014,6,Greg Olsen,0,0,Bengals,0,0,0,0,0,0,12.0,TE,0,1,62,6,0,0,0,0,1,Bengals,0,0,1,Panthers,284,37,2.0,DST,147,0.0,0,431,0,0
6,2014,7,Greg Olsen,0,0,Packers,0,0,0,0,0,0,10.0,TE,0,0,105,8,0,0,0,0,1,Packers,0,0,1,Panthers,223,17,9.0,DST,108,3.0,0,331,0,0
7,2014,8,Greg Olsen,0,0,Seahawks,0,0,0,0,0,0,1.0,TE,0,0,16,1,0,0,0,0,0,Seahawks,0,1,1,Panthers,152,9,14.0,DST,114,3.0,0,266,0,1
8,2014,9,Greg Olsen,0,0,Saints,0,0,0,0,0,0,3.0,TE,0,0,30,3,0,0,0,0,0,Saints,0,1,1,Panthers,122,10,15.0,DST,109,4.0,0,231,0,1
9,2014,10,Greg Olsen,0,0,Eagles,0,0,0,0,0,0,11.0,TE,0,0,119,6,0,0,0,0,1,Eagles,0,2,3,Panthers,215,21,32.0,DST,102,9.0,0,317,2,0
10,2014,11,Greg Olsen,0,0,Falcons,0,0,0,0,0,0,6.0,TE,0,0,61,5,0,0,0,0,0,Falcons,1,0,2,Panthers,285,17,12.0,DST,106,2.0,0,391,0,1
11,2014,14,Greg Olsen,0,0,Saints,0,0,0,0,0,0,13.0,TE,0,1,72,10,0,0,0,0,1,Saints,0,0,0,Panthers,226,41,0.0,DST,271,0.0,0,497,0,0
12,2014,15,Greg Olsen,0,0,Buccaneers,0,0,0,0,0,0,11.0,TE,0,0,110,10,0,0,0,0,0,Buccaneers,0,1,0,Panthers,269,19,9.0,DST,123,3.0,0,392,0,1
13,2014,16,Greg Olsen,0,0,Browns,0,0,0,0,0,0,2.0,TE,0,0,21,1,0,0,0,0,0,Browns,0,1,1,Panthers,195,17,9.0,DST,209,1.0,0,404,0,1
14,2014,17,Greg Olsen,0,0,Falcons,0,0,0,0,0,0,2.0,TE,0,0,27,2,0,0,0,0,1,Falcons,0,0,0,Panthers,112,34,1.0,DST,194,1.0,0,306,0,0
