,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4996,2011,1,Jared Cook,0,0,Jaguars,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1
5016,2011,2,Jared Cook,0,0,Ravens,0,0,0,0,0,0,3.0,TE,0,0,37,2,0,0,0,0,0
5085,2011,3,Jared Cook,0,0,Broncos,0,0,0,0,0,0,1.0,TE,0,0,12,2,0,0,0,0,0
5102,2011,4,Jared Cook,0,0,Browns,0,0,0,0,0,0,15.0,TE,0,1,93,2,0,0,0,0,1
5175,2011,5,Jared Cook,0,0,Steelers,0,0,0,0,0,0,5.0,TE,0,0,59,4,0,0,0,0,1
5256,2011,7,Jared Cook,0,0,Texans,0,0,0,0,0,0,8.0,TE,0,1,22,2,0,0,0,0,0
5309,2011,8,Jared Cook,0,0,Colts,0,0,0,0,0,0,4.0,TE,0,0,40,2,0,0,0,0,0
5356,2011,9,Jared Cook,0,1,Bengals,0,0,0,0,0,0,3.0,TE,0,0,47,4,0,0,0,0,0
5427,2011,10,Jared Cook,0,0,Panthers,0,0,0,0,0,0,1.0,TE,0,0,18,1,0,0,0,0,1
5453,2011,11,Jared Cook,0,0,Falcons,0,0,0,0,0,0,5.0,TE,0,0,51,5,0,0,0,0,1
5505,2011,12,Jared Cook,0,0,Buccaneers,0,0,0,0,0,0,3.0,TE,0,0,38,3,0,0,0,0,0
5640,2011,15,Jared Cook,0,1,Colts,0,0,0,0,0,0,9.0,TE,0,0,103,9,0,0,0,0,1
5686,2011,16,Jared Cook,0,0,Jaguars,0,0,0,0,0,0,22.0,TE,0,1,169,8,0,0,0,0,0
5756,2011,17,Jared Cook,0,0,Texans,0,0,0,0,0,0,6.0,TE,0,0,63,4,0,0,0,0,1
