,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3490,2010,4,Jimmy Graham,0,0,Panthers,0,0,0,0,0,0,0.0,TE,0,0,0,0,0,1,0,3,0
3578,2010,6,Jimmy Graham,0,0,Buccaneers,0,0,0,0,0,0,1.0,TE,0,0,11,1,0,0,0,0,1
3611,2010,7,Jimmy Graham,0,0,Browns,0,0,0,0,0,0,3.0,TE,0,0,38,4,0,0,0,0,0
3678,2010,9,Jimmy Graham,0,0,Panthers,0,0,0,0,0,0,10.0,TE,0,1,49,3,0,0,0,0,1
3769,2010,11,Jimmy Graham,0,0,Seahawks,0,0,0,0,0,0,7.0,TE,0,0,72,5,0,0,0,0,0
3844,2010,12,Jimmy Graham,0,0,Cowboys,0,0,0,0,0,0,2.0,TE,0,0,23,3,0,0,0,0,1
3870,2010,13,Jimmy Graham,0,0,Bengals,0,0,0,0,0,0,7.0,TE,0,0,72,3,0,0,0,0,1
3940,2010,14,Jimmy Graham,0,0,Rams,0,0,0,0,0,0,2.0,TE,0,0,21,1,0,0,0,0,0
3971,2010,15,Jimmy Graham,0,0,Ravens,0,0,0,0,0,0,14.0,TE,0,2,29,5,0,0,0,0,1
4032,2010,16,Jimmy Graham,0,0,Falcons,0,0,0,0,0,0,8.0,TE,0,1,26,4,0,0,0,0,1
4078,2010,17,Jimmy Graham,0,0,Buccaneers,0,0,0,0,0,0,7.0,TE,0,1,15,2,0,0,0,0,0
