,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013.0,2,John Carlson,0.0,1.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,TE,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,Bears,0.0,1.0,2.0,Min,277.0,21.0,8.0,DST,63.0,1.0,0.0,340.0,0.0,0.0
1,2013.0,3,John Carlson,0.0,1.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,TE,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,Browns,0.0,0.5,0.5,Min,226.0,18.5,7.5,DST,59.5,3.0,0.0,285.5,0.0,0.5
2,2013.0,4,John Carlson,0.0,0.5,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,TE,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5,Steelers,0.3333333333333333,0.0,0.0,Min,182.66666666666663,25.33333333333333,5.0,DST,115.33333333333331,1.0,0.3333333333333333,298.0,0.0,0.3333333333333333
3,2013.0,6,John Carlson,0.0,0.3333333333333333,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,TE,0.0,0.0,4.666666666666667,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,Panthers,0.0,0.75,1.5,Min,209.25,14.5,12.25,DST,92.25,3.0,0.0,301.5,0.0,0.5
4,2013.0,7,John Carlson,0.0,0.25,Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,6.5,1.25,0.0,0.0,0.0,0.0,0.25,Giants,0.0,0.5,0.6666666666666666,Min,268.0,34.833333333333336,3.333333333333333,DST,123.33333333333331,0.8333333333333334,0.0,391.33333333333326,0.0,0.6666666666666666
5,2013.0,8,John Carlson,0.0,0.2,Packers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,7.0,1.2,0.0,0.0,0.0,0.0,0.4,Packers,0.16666666666666666,0.6666666666666666,0.5,Min,266.8333333333333,21.166666666666668,10.666666666666666,DST,79.0,3.333333333333333,0.0,345.83333333333326,0.16666666666666666,0.5
6,2013.0,9,John Carlson,0.0,0.16666666666666666,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,6.333333333333332,1.1666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,Cowboys,0.125,1.0,1.375,Min,315.375,23.25,13.75,DST,107.125,2.625,0.0,422.5,0.5,0.5
7,2013.0,10,John Carlson,0.0,0.14285714285714285,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,TE,0.0,0.0,8.714285714285714,1.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,Redskins,0.0,0.625,1.125,Min,282.125,31.625,10.625,DST,116.625,2.625,0.0,398.75,0.625,0.5
8,2013.0,11,John Carlson,0.0,0.125,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.125,TE,0.0,0.125,19.875,2.25,0.0,0.0,0.0,0.0,0.375,Seahawks,0.1,0.9,1.3,Min,178.0,15.9,13.5,DST,111.0,3.1,0.2,289.0,0.1,0.6
9,2013.0,12,John Carlson,0.0,0.1111111111111111,Packers,0.0,0.0,0.0,0.0,0.0,0.0,2.555555555555556,TE,0.0,0.1111111111111111,25.33333333333333,2.555555555555556,0.0,0.0,0.0,0.0,0.4444444444444444,Packers,0.2,0.5,0.4,Min,247.1,23.9,9.0,DST,103.8,3.1,0.0,350.9,0.2,0.5
10,2013.0,13,John Carlson,0.0,0.1,Bears,0.0,0.0,0.0,0.0,0.0,0.0,2.6,TE,0.0,0.1,26.4,2.6,0.0,0.0,0.0,0.0,0.5,Bears,0.0,0.7272727272727273,1.2727272727272727,Min,230.8181818181818,28.09090909090909,10.181818181818182,DST,145.1818181818182,1.7272727272727273,0.0,376.0,0.5454545454545454,0.4545454545454545
11,2013.0,14,John Carlson,0.0,0.09090909090909093,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,2.9090909090909087,TE,0.0,0.09090909090909093,29.54545454545455,2.727272727272727,0.0,0.0,0.0,0.0,0.4545454545454545,Ravens,0.0,0.5,0.75,Min,228.91666666666663,19.58333333333333,10.5,DST,100.08333333333331,3.083333333333333,0.0,329.0,0.16666666666666666,0.5
