,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
820,2014.0,1,Julius Thomas,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TE,0.0,3.0,104.0,7.0,0.0,0.0,0.0,0.0,0.0
880,2014.0,2,Julius Thomas,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,28.0,TE,0.0,3.0,104.0,7.0,0.0,0.0,0.0,0.0,0.0
937,2014.0,3,Julius Thomas,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,18.5,TE,0.0,2.0,71.5,5.5,0.0,0.0,0.0,0.0,0.0
1017,2014.0,5,Julius Thomas,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,TE,0.0,1.6666666666666667,53.333333333333336,4.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
1062,2014.0,6,Julius Thomas,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,15.5,TE,0.0,1.75,56.5,5.0,0.0,0.0,0.0,0.0,0.25
1135,2014.0,7,Julius Thomas,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,15.8,TE,0.0,1.8,55.4,4.8,0.0,0.0,0.0,0.0,0.4
1186,2014.0,8,Julius Thomas,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,13.5,TE,0.0,1.5,50.666666666666664,4.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
1217,2014.0,9,Julius Thomas,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,11.857142857142858,TE,0.0,1.2857142857142858,46.714285714285715,4.285714285714286,0.0,0.0,0.0,0.0,0.2857142857142857
1247,2014.0,10,Julius Thomas,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,11.5,TE,0.0,1.25,45.0,4.0,0.0,0.0,0.0,0.0,0.375
1320,2014.0,11,Julius Thomas,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,12.222222222222221,TE,0.0,1.3333333333333333,47.0,4.222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444
1494,2014.0,15,Julius Thomas,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TE,0.0,1.2,42.6,4.0,0.0,0.0,0.0,0.0,0.5
1547,2014.0,16,Julius Thomas,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,10.272727272727273,TE,0.0,1.0909090909090908,41.45454545454545,3.727272727272727,0.0,0.0,0.0,0.0,0.5454545454545454
