,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4981,2011,1,Kellen Davis,0,0,Falcons,0,0,0,0,0,0,2.0,TE,0,0,23,2,0,0,0,0,0
5056,2011,3,Kellen Davis,0,0,Packers,0,0,0,0,0,0,9.0,TE,0,1,32,1,0,0,0,0,0
5167,2011,5,Kellen Davis,0,0,Lions,0,0,0,0,0,0,8.0,TE,0,1,25,3,0,0,0,0,1
5226,2011,6,Kellen Davis,0,0,Min,0,0,0,0,0,0,2.0,TE,0,0,27,2,0,0,0,0,0
5382,2011,9,Kellen Davis,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,-1,1,0,0,0,0,1
5450,2011,11,Kellen Davis,0,0,Chargers,0,0,0,0,0,0,6.0,TE,0,1,4,1,0,0,0,0,0
5488,2011,12,Kellen Davis,0,0,Raiders,0,0,0,0,0,0,8.0,TE,0,1,25,2,0,0,0,0,1
5553,2011,13,Kellen Davis,0,0,Chiefs,0,0,0,0,0,0,4.0,TE,0,0,40,2,0,0,0,0,0
5672,2011,15,Kellen Davis,0,0,Seahawks,0,0,0,0,0,0,1.0,TE,0,0,10,1,0,0,0,0,0
5695,2011,16,Kellen Davis,0,0,Packers,0,0,0,0,0,0,8.0,TE,0,1,21,3,0,0,0,0,1
