,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,1,Lance Kendricks,0,0,Lions,0,0,0,0,0,0,1.0,TE,0,0,16,2,0,0,0,0,1,Lions,0,0,0,Rams,173,23,5.0,DST,77,4.0,0,250,0,0
1,2012,2,Lance Kendricks,0,0,Redskins,0,0,0,0,0,0,2.0,TE,0,0,25,2,0,0,0,0,0,Redskins,0,2,1,Rams,301,31,14.0,DST,151,2.0,0,452,1,1
2,2012,3,Lance Kendricks,0,0,Bears,0,0,0,0,0,0,1.0,TE,0,0,18,3,0,0,0,0,1,Bears,0,0,2,Rams,101,6,26.0,DST,59,6.0,0,160,1,0
3,2012,4,Lance Kendricks,0,0,Seahawks,0,0,0,0,0,0,2.0,TE,0,0,22,2,0,0,0,0,0,Seahawks,0,0,1,Rams,211,19,8.0,DST,75,2.0,0,286,0,1
4,2012,5,Lance Kendricks,0,0,Cardinals,0,0,0,0,0,0,6.0,TE,0,1,7,1,0,0,0,0,0,Cardinals,0,0,1,Rams,131,17,7.0,DST,111,1.0,0,242,0,1
5,2012,6,Lance Kendricks,0,0,Dolphins,0,0,0,0,0,0,4.0,TE,0,0,40,4,0,0,0,0,1,Dolphins,0,1,0,Rams,300,14,9.0,DST,162,3.0,0,462,0,0
6,2012,7,Lance Kendricks,0,0,Packers,0,0,0,0,0,0,0.0,TE,0,0,5,2,0,0,0,0,0,Packers,0,0,1,Rams,246,20,9.0,DST,108,3.0,0,354,0,1
7,2012,8,Lance Kendricks,0,0,Patriots,0,0,0,0,0,0,3.0,TE,0,0,32,4,0,0,0,0,0,Patriots,0,0,2,Rams,219,7,13.0,DST,107,2.0,0,326,0,1
8,2012,10,Lance Kendricks,0,0,49ers,0,0,0,0,0,0,4.0,TE,0,0,48,3,0,0,0,0,1,49ers,0,1,0,Rams,299,24,5.0,DST,159,2.0,0,458,0,0
9,2012,11,Lance Kendricks,0,0,Jets,0,0,0,0,0,0,1.0,TE,0,0,14,2,0,0,0,0,0,Jets,0,2,1,Rams,167,13,14.0,DST,114,1.0,0,281,0,1
10,2012,12,Lance Kendricks,0,0,Cardinals,0,0,0,0,0,0,9.0,TE,0,1,37,1,0,0,0,0,1,Cardinals,0,0,1,Rams,194,31,4.0,DST,173,2.0,0,367,0,0
11,2012,13,Lance Kendricks,0,0,49ers,0,0,0,0,0,0,5.0,TE,1,0,32,3,0,0,0,0,0,49ers,0,0,0,Rams,208,16,6.0,DST,85,2.0,0,293,0,1
12,2012,14,Lance Kendricks,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,36,3,0,0,0,0,1,Bills,0,0,1,Rams,207,15,7.0,DST,78,1.0,0,285,0,0
13,2012,16,Lance Kendricks,0,0,Buccaneers,0,0,0,0,0,0,17.0,TE,0,1,119,4,0,0,0,0,1,Buccaneers,0,1,1,Rams,196,28,4.0,DST,89,0.0,0,285,0,0
14,2012,17,Lance Kendricks,0,0,Seahawks,0,0,0,0,0,0,3.0,TE,0,0,33,3,0,0,0,0,1,Seahawks,0,0,1,Rams,252,13,9.0,DST,79,0.0,0,331,0,0
