,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
826,2014,1,Larry Donnell,0,0,Lions,0,0,0,0,0,0,11.0,TE,0,1,56,5,0,0,0,0,1
884,2014,2,Larry Donnell,0,0,Cardinals,0,0,0,0,0,0,8.0,TE,0,0,81,7,0,0,0,0,0
948,2014,3,Larry Donnell,0,1,Texans,0,0,0,0,0,0,3.0,TE,0,0,45,6,0,0,0,0,0
978,2014,4,Larry Donnell,0,0,Redskins,0,0,0,0,0,0,23.0,TE,0,3,54,7,0,0,0,0,1
1110,2014,6,Larry Donnell,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,6,1,0,0,0,0,1
1121,2014,7,Larry Donnell,0,2,Cowboys,0,0,0,0,0,0,7.0,TE,0,0,90,7,0,0,0,0,1
1219,2014,9,Larry Donnell,0,0,Colts,0,0,0,0,0,0,8.0,TE,0,1,25,4,0,0,0,0,0
1268,2014,10,Larry Donnell,0,0,Seahawks,0,0,0,0,0,0,2.0,TE,0,0,26,4,0,0,0,0,1
1289,2014,11,Larry Donnell,0,0,49ers,0,0,0,0,0,0,11.0,TE,0,1,54,3,0,0,0,0,0
1360,2014,12,Larry Donnell,0,0,Cowboys,0,0,0,0,0,0,2.0,TE,0,0,24,2,0,0,0,0,0
1401,2014,13,Larry Donnell,0,1,Jaguars,0,0,0,0,0,0,4.0,TE,0,0,55,5,0,0,0,0,1
1458,2014,14,Larry Donnell,0,0,Titans,0,0,0,0,0,0,2.0,TE,0,0,28,4,0,0,0,0,1
1512,2014,15,Larry Donnell,0,0,Redskins,0,0,0,0,0,0,1.0,TE,0,0,11,2,0,0,0,0,0
1544,2014,16,Larry Donnell,0,0,Rams,0,0,0,0,0,0,4.0,TE,0,0,42,4,0,0,0,0,1
1613,2014,17,Larry Donnell,0,0,Eagles,0,0,0,0,0,0,2.0,TE,0,0,26,2,0,0,0,0,0
1698,2013,2,Larry Donnell,0,0,Broncos,0,0,0,0,0,0,3.0,TE,0,0,31,3,0,0,0,0,0
2466,2015,1,Larry Donnell,0,0,Cowboys,0,0,0,0,0,0,2.0,TE,0,0,21,3,0,0,0,0,1
2494,2015,2,Larry Donnell,0,0,Falcons,0,0,0,0,0,0,8.0,TE,0,1,28,4,0,0,0,0,0
2555,2015,3,Larry Donnell,0,0,Redskins,0,0,0,0,0,0,3.0,TE,0,0,32,3,0,0,0,0,0
2601,2015,4,Larry Donnell,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,38,5,0,0,0,0,1
2634,2015,5,Larry Donnell,0,0,49ers,0,0,0,0,0,0,9.0,TE,0,1,35,6,0,0,0,0,0
2698,2015,6,Larry Donnell,0,0,Eagles,0,0,0,0,0,0,2.0,TE,0,0,29,3,0,0,0,0,1
2748,2015,7,Larry Donnell,0,0,Cowboys,0,0,0,0,0,0,1.0,TE,0,0,18,4,0,0,0,0,0
2789,2015,8,Larry Donnell,0,0,Saints,0,0,0,0,0,0,2.0,TE,0,0,22,1,0,0,0,0,1
4127,2016,1,Larry Donnell,0,0,Cowboys,0,0,0,0,0,0,7.0,TE,0,1,15,1,0,0,0,0,1
4206,2016,2,Larry Donnell,0,0,Saints,0,0,0,0,0,0,2.0,TE,0,0,24,4,0,0,0,0,0
4261,2016,3,Larry Donnell,0,0,Redskins,0,0,0,0,0,0,1.0,TE,0,0,11,3,0,0,0,0,0
4384,2016,6,Larry Donnell,0,0,Ravens,0,0,0,0,0,0,3.0,TE,0,0,34,6,0,0,0,0,0
4459,2016,7,Larry Donnell,0,1,LA,0,0,0,0,0,0,-1.0,TE,0,0,8,1,0,0,0,0,1
