,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3906,2010.0,13,Logan Paulsen,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
3929,2010.0,14,Logan Paulsen,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
5261,2011.0,7,Logan Paulsen,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,1.0
5424,2011.0,10,Logan Paulsen,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TE,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,1.0
5471,2011.0,11,Logan Paulsen,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,2.5,TE,0.0,0.0,32.0,1.5,0.0,0.0,0.0,0.0,1.0
5519,2011.0,12,Logan Paulsen,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,27.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
5681,2011.0,15,Logan Paulsen,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,1.75,TE,0.0,0.0,23.75,1.75,0.0,0.0,0.0,0.0,0.75
5727,2011.0,16,Logan Paulsen,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,1.4,TE,0.0,0.0,20.8,1.6,0.0,0.0,0.0,0.0,0.8
5764,2011.0,17,Logan Paulsen,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,TE,0.0,0.0,18.166666666666668,1.5,0.0,0.0,0.0,0.0,0.6666666666666666
30,2012.0,1,Logan Paulsen,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0
