,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5023,2011.0,2,Luke Stocker,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0
5072,2011.0,3,Luke Stocker,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0
5142,2011.0,4,Luke Stocker,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.0,25.0,1.5,0.0,0.0,0.0,0.0,0.5
5273,2011.0,7,Luke Stocker,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,TE,0.0,0.0,19.666666666666668,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
5476,2011.0,11,Luke Stocker,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,1.25,TE,0.0,0.0,18.25,1.75,0.0,0.0,0.0,0.0,0.25
5676,2011.0,15,Luke Stocker,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE,0.0,0.0,14.8,1.6,0.0,0.0,0.0,0.0,0.4
5718,2011.0,16,Luke Stocker,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,TE,0.0,0.0,13.0,1.5,0.0,0.0,0.0,0.0,0.3333333333333333
121,2012.0,3,Luke Stocker,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
203,2012.0,4,Luke Stocker,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,6.0,TE,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
317,2012.0,7,Luke Stocker,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.5,3.0,1.0,0.0,0.0,0.0,0.0,0.5
422,2012.0,9,Luke Stocker,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TE,0.0,0.3333333333333333,13.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333
460,2012.0,10,Luke Stocker,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,2.25,TE,0.0,0.25,10.25,1.0,0.0,0.0,0.0,0.0,0.5
568,2012.0,12,Luke Stocker,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TE,0.0,0.2,10.4,1.0,0.0,0.0,0.0,0.0,0.4
605,2012.0,13,Luke Stocker,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,TE,0.0,0.16666666666666666,9.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333
700,2012.0,15,Luke Stocker,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,TE,0.0,0.14285714285714285,10.857142857142858,1.1428571428571428,0.0,0.0,0.0,0.0,0.42857142857142855
755,2012.0,16,Luke Stocker,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,1.625,TE,0.0,0.125,12.375,1.375,0.0,0.0,0.0,0.0,0.5
788,2012.0,17,Luke Stocker,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,TE,0.0,0.1111111111111111,12.777777777777779,1.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444
864,2014.0,1,Luke Stocker,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
