,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,2,Rob Housler,0,0,Patriots,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1,Patriots,0,2,0,Cardinals,140,20,10.0,DST,102,2.0,0,242,0,0
1,2012,3,Rob Housler,0,0,Eagles,0,0,0,0,0,0,1.0,TE,0,0,18,2,0,0,0,0,0,Eagles,0,0,0,Cardinals,193,27,4.0,DST,99,3.0,0,292,0,1
2,2012,4,Rob Housler,0,0,Dolphins,0,0,0,0,0,0,4.0,TE,0,0,48,2,0,0,0,0,0,Dolphins,0,0,2,Cardinals,269,24,13.0,DST,28,8.0,0,297,0,1
3,2012,5,Rob Housler,0,0,Rams,0,0,0,0,0,0,4.0,TE,0,0,45,3,0,0,0,0,1,Rams,0,1,0,Cardinals,237,3,21.0,DST,45,9.0,0,282,0,0
4,2012,6,Rob Housler,0,0,Bills,0,0,0,0,0,0,1.0,TE,0,0,12,2,0,0,0,0,0,Bills,0,0,2,Cardinals,150,16,15.0,DST,182,5.0,1,332,0,1
5,2012,8,Rob Housler,0,0,49ers,0,0,0,0,0,0,3.0,TE,0,0,32,4,0,0,0,0,0,49ers,0,0,1,Cardinals,258,3,16.0,DST,7,4.0,0,265,0,1
6,2012,9,Rob Housler,0,0,Packers,0,0,0,0,0,0,5.0,TE,0,0,55,5,0,0,0,0,1,Packers,0,1,1,Cardinals,286,17,10.0,DST,54,2.0,0,340,0,0
7,2012,12,Rob Housler,0,0,Rams,0,0,0,0,0,0,8.0,TE,0,0,82,8,0,0,0,0,0,Rams,0,0,4,Cardinals,301,17,26.0,DST,74,2.0,0,375,2,1
8,2012,13,Rob Housler,0,0,Jets,0,0,0,0,0,0,1.0,TE,0,0,15,4,0,0,0,0,1,Jets,0,0,1,Cardinals,56,6,14.0,DST,81,2.0,0,137,0,0
9,2012,14,Rob Housler,0,0,Seahawks,0,0,0,0,0,0,3.0,TE,0,0,36,7,0,0,0,0,1,Seahawks,0,4,4,Cardinals,111,0,41.0,DST,43,3.0,0,154,2,0
10,2012,15,Rob Housler,0,0,Lions,0,0,0,0,0,0,1.0,TE,0,0,13,2,0,0,0,0,0,Lions,0,0,1,Cardinals,97,38,3.0,DST,99,1.0,0,196,0,1
