,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3256,2010.0,8,Tarvaris Jackson,0.0,0.0,Patriots,1.0,6.0,4.0,0.0,1.0,36.0,12.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0
3421,2010.0,13,Tarvaris Jackson,0.0,0.0,Bills,1.0,6.0,4.0,0.0,1.0,36.0,12.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0
3471,2010.0,14,Tarvaris Jackson,0.0,0.0,Giants,0.5,14.0,9.5,1.5,1.5,111.5,13.5,QB,0.0,0.0,0.0,0.0,0.0,1.5,0.0,27.5,0.5
2405,2011.0,1,Tarvaris Jackson,0.0,2.0,49ers,0.0,37.0,21.0,1.0,2.0,197.0,16.0,QB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,1.0
2452,2011.0,2,Tarvaris Jackson,0.0,2.0,Steelers,0.0,37.0,21.0,1.0,2.0,197.0,16.0,QB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,1.0
2481,2011.0,3,Tarvaris Jackson,0.0,1.0,Cardinals,0.0,33.0,20.5,0.5,1.0,178.0,11.5,QB,0.0,0.0,0.0,0.0,0.0,3.5,0.0,12.5,1.0
2497,2011.0,4,Tarvaris Jackson,0.0,0.6666666666666666,Falcons,0.0,32.333333333333336,19.666666666666668,0.6666666666666666,0.6666666666666666,175.66666666666666,11.666666666666666,QB,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.3333333333333333,15.0,0.6666666666666666
2553,2011.0,5,Tarvaris Jackson,0.0,0.5,Giants,0.0,33.75,21.0,1.0,1.25,211.5,15.5,QB,0.0,0.0,0.0,0.0,0.0,3.25,0.25,15.25,0.5
2647,2011.0,8,Tarvaris Jackson,0.0,0.4,Bengals,0.0,31.4,19.8,1.0,1.2,202.4,14.6,QB,0.0,0.0,0.0,0.0,0.0,3.4,0.2,15.6,0.6
2679,2011.0,9,Tarvaris Jackson,0.0,0.3333333333333333,Cowboys,0.0,32.833333333333336,20.0,1.0,1.0,222.5,13.833333333333334,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.16666666666666666,13.333333333333334,0.5
2706,2011.0,10,Tarvaris Jackson,0.0,0.2857142857142857,Ravens,0.0,32.42857142857143,19.571428571428573,1.2857142857142858,0.8571428571428571,222.28571428571428,12.142857142857142,QB,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.14285714285714285,11.857142857142858,0.5714285714285714
2747,2011.0,11,Tarvaris Jackson,0.0,0.25,Rams,0.0,31.75,19.25,1.125,0.75,221.625,11.625,QB,0.0,0.0,0.0,0.0,0.0,3.125,0.125,10.75,0.5
2771,2011.0,12,Tarvaris Jackson,0.0,0.2222222222222222,Redskins,0.0,30.88888888888889,18.666666666666668,1.2222222222222223,0.7777777777777778,213.44444444444446,11.222222222222221,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.1111111111111111,10.666666666666666,0.5555555555555556
2812,2011.0,13,Tarvaris Jackson,0.0,0.2,Eagles,0.0,30.8,18.2,1.2,0.9,206.5,11.6,QB,0.0,0.0,0.0,0.0,0.0,2.7,0.1,9.6,0.5
2850,2011.0,14,Tarvaris Jackson,0.0,0.18181818181818182,Rams,0.0,29.454545454545453,17.727272727272727,1.0909090909090908,0.9090909090909091,205.0,11.727272727272727,QB,0.0,0.0,0.0,0.0,0.0,2.6363636363636362,0.09090909090909091,9.090909090909092,0.45454545454545453
2894,2011.0,15,Tarvaris Jackson,0.0,0.25,Bears,0.0,29.666666666666668,18.0,1.0,0.9166666666666666,206.58333333333334,11.833333333333334,QB,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.08333333333333333,8.666666666666666,0.4166666666666667
2939,2011.0,16,Tarvaris Jackson,0.0,0.3076923076923077,49ers,0.0,29.76923076923077,18.076923076923077,0.9230769230769231,0.9230769230769231,208.15384615384616,12.0,QB,0.0,0.0,0.0,0.0,0.0,2.8461538461538463,0.07692307692307693,7.846153846153846,0.46153846153846156
2973,2011.0,17,Tarvaris Jackson,0.0,0.35714285714285715,Cardinals,0.0,29.642857142857142,17.857142857142858,0.8571428571428571,0.9285714285714286,204.92857142857142,11.928571428571429,QB,0.0,0.0,0.0,0.0,0.0,2.7857142857142856,0.07142857142857142,7.5,0.42857142857142855
86,2013.0,3,Tarvaris Jackson,0.0,0.0,Jaguars,0.0,8.0,7.0,0.0,1.0,129.0,17.0,QB,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
371,2013.0,11,Tarvaris Jackson,0.0,0.0,Min,0.0,8.0,7.0,0.0,1.0,129.0,17.0,QB,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
513,2013.0,15,Tarvaris Jackson,0.0,0.0,Giants,0.0,5.5,4.0,0.0,0.5,67.5,8.5,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,0.0
2348,2014.0,16,Tarvaris Jackson,0.0,0.0,Cardinals,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1023,2015.0,13,Tarvaris Jackson,0.0,0.0,Min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,1.0
1060,2015.0,14,Tarvaris Jackson,0.0,0.0,Ravens,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,1.0
1103,2015.0,15,Tarvaris Jackson,0.0,0.0,Browns,0.0,1.0,0.5,0.0,0.0,4.5,0.0,QB,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,1.0
1180,2015.0,17,Tarvaris Jackson,0.0,0.0,Cardinals,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3.0,0.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.6666666666666666
