,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1186,2012,1,Tony Romo,0,0,Giants,0,29,22,1,3,307,29.0,QB,0,0,0,0,0,5,0,12,1
1246,2012,2,Tony Romo,0,0,Seahawks,0,40,23,1,1,251,14.0,QB,0,0,0,0,0,2,0,-1,1
1285,2012,3,Tony Romo,0,2,Buccaneers,0,39,25,1,0,283,7.0,QB,0,0,-1,1,0,4,0,1,0
1319,2012,4,Tony Romo,0,0,Bears,0,43,31,5,1,307,8.0,QB,0,0,0,0,0,1,0,0,0
1377,2012,6,Tony Romo,0,0,Ravens,0,36,25,1,2,261,20.0,QB,0,0,0,0,0,0,0,0,1
1410,2012,7,Tony Romo,0,0,Panthers,0,34,24,0,1,227,16.0,QB,0,0,0,0,0,3,0,11,1
1434,2012,8,Tony Romo,0,0,Giants,0,62,36,4,1,437,21.0,QB,0,0,0,0,0,2,1,0,0
1472,2012,9,Tony Romo,0,0,Falcons,0,35,25,0,1,321,18.0,QB,0,0,0,0,0,0,0,0,1
1504,2012,10,Tony Romo,0,0,Eagles,0,26,19,0,2,209,20.0,QB,0,0,0,0,0,1,0,-1,1
1544,2012,11,Tony Romo,0,1,Browns,0,50,35,0,1,313,18.0,QB,0,0,0,0,0,2,0,10,0
1567,2012,12,Tony Romo,0,0,Redskins,0,62,37,2,3,441,33.0,QB,0,0,0,0,1,3,0,7,0
1601,2012,13,Tony Romo,0,0,Eagles,0,27,22,0,3,303,31.0,QB,0,0,0,0,0,3,0,14,0
1651,2012,14,Tony Romo,0,0,Bengals,0,43,25,1,1,268,14.0,QB,0,0,0,0,0,0,0,0,1
1681,2012,15,Tony Romo,0,0,Steelers,0,42,30,0,2,341,25.0,QB,0,0,0,0,0,4,0,-4,0
1711,2012,16,Tony Romo,0,0,Saints,0,43,26,0,4,416,40.0,QB,0,0,0,0,0,0,0,0,0
1769,2012,17,Tony Romo,0,0,Redskins,1,37,20,3,2,218,16.0,QB,0,0,0,0,0,0,0,0,1
