,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010,1,Tony Scheffler,0,0,Bears,0,0,0,0,0,0,4.0,TE,0,0,43,6,0,0,0,0,1,Bears,0,2,1,Lions,148,14,12.0,DST,20,2.0,0,168,0,0
1,2010,2,Tony Scheffler,0,0,Eagles,0,0,0,0,0,0,0.0,TE,0,0,5,1,0,0,0,0,0,Eagles,0,0,2,Lions,329,32,6.0,DST,115,2.0,0,444,0,1
2,2010,4,Tony Scheffler,0,0,Packers,0,0,0,0,0,0,6.0,TE,0,0,63,6,0,0,0,0,1,Packers,0,1,2,Lions,308,26,16.0,DST,123,3.0,0,431,1,0
3,2010,5,Tony Scheffler,0,0,Rams,0,0,0,0,0,0,4.0,TE,0,0,41,4,0,0,0,0,0,Rams,0,0,0,Lions,233,44,1.0,DST,89,1.0,0,322,0,1
4,2010,6,Tony Scheffler,0,0,Giants,0,0,0,0,0,0,0.0,TE,0,0,5,2,0,0,0,0,1,Giants,0,2,1,Lions,302,20,12.0,DST,64,2.0,0,366,0,0
5,2010,9,Tony Scheffler,0,0,Jets,0,0,0,0,0,0,2.0,TE,0,0,22,2,0,0,0,0,0,Jets,0,0,0,Lions,228,20,6.0,DST,78,2.0,0,306,0,1
6,2010,10,Tony Scheffler,0,0,Bills,0,0,0,0,0,0,3.0,TE,0,0,34,3,0,0,0,0,1,Bills,0,0,1,Lions,314,12,10.0,DST,76,1.0,0,390,0,0
7,2010,11,Tony Scheffler,0,0,Cowboys,0,0,0,0,0,0,1.0,TE,0,0,10,1,0,0,0,0,1,Cowboys,0,1,1,Lions,263,19,17.0,DST,75,3.0,0,338,1,0
8,2010,13,Tony Scheffler,0,0,Bears,0,0,0,0,0,0,0.0,TE,0,0,9,2,0,0,0,0,0,Bears,0,0,0,Lions,168,20,6.0,DST,134,2.0,0,302,0,1
9,2010,14,Tony Scheffler,0,0,Packers,0,0,0,0,0,0,0.0,TE,0,0,3,1,0,0,0,0,0,Packers,0,0,2,Lions,96,7,13.0,DST,190,2.0,0,286,0,1
10,2010,15,Tony Scheffler,0,0,Buccaneers,0,0,0,0,0,0,1.0,TE,0,0,18,3,0,0,0,0,1,Buccaneers,0,0,0,Lions,252,23,1.0,DST,181,0.0,0,433,0,0
11,2010,16,Tony Scheffler,0,0,Dolphins,0,0,0,0,0,0,1.0,TE,0,0,15,1,0,0,0,0,1,Dolphins,0,0,0,Lions,208,34,2.0,DST,67,2.0,0,275,0,0
