,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4961,2011,1,Tony Scheffler,0,0,Buccaneers,0,0,0,0,0,0,7.0,TE,0,1,11,1,0,1,0,5,1
5004,2011,2,Tony Scheffler,0,0,Chiefs,0,0,0,0,0,0,9.0,TE,0,1,36,1,0,0,0,0,0
5091,2011,3,Tony Scheffler,0,0,Min,0,0,0,0,0,0,0.0,TE,0,0,4,1,0,0,0,0,1
5185,2011,5,Tony Scheffler,0,0,Bears,0,0,0,0,0,0,1.0,TE,0,0,12,1,0,0,0,0,0
5276,2011,7,Tony Scheffler,0,0,Falcons,0,0,0,0,0,0,1.0,TE,0,0,15,2,0,0,0,0,0
5293,2011,8,Tony Scheffler,0,0,Broncos,0,0,0,0,0,0,9.0,TE,0,1,38,3,0,0,0,0,1
5391,2011,10,Tony Scheffler,0,0,Bears,0,0,0,0,0,0,9.0,TE,0,1,37,3,0,0,0,0,1
5445,2011,11,Tony Scheffler,0,0,Panthers,0,0,0,0,0,0,8.0,TE,0,1,24,2,0,0,0,0,0
5517,2011,12,Tony Scheffler,0,0,Packers,0,0,0,0,0,0,1.0,TE,0,0,13,2,0,0,0,0,0
5550,2011,13,Tony Scheffler,0,0,Saints,0,0,0,0,0,0,4.0,TE,0,0,41,2,0,0,0,0,1
5679,2011,15,Tony Scheffler,0,0,Raiders,0,0,0,0,0,0,0.0,TE,0,0,4,1,0,0,0,0,1
5705,2011,16,Tony Scheffler,0,0,Chargers,0,0,0,0,0,0,4.0,TE,0,0,47,3,0,0,0,0,0
5743,2011,17,Tony Scheffler,0,0,Packers,0,0,0,0,0,0,14.0,TE,1,1,65,4,0,0,0,0,1
