,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Tyrod Taylor,0,0,Colts,0,19,14,0,1,195,17.0,QB,0,0,0,0,0,9,0,41,0,Colts,0,0,0,Bills,195,27,1.0,DST,147,0.0,0,342,0,1
1,2015,2,Tyrod Taylor,0,0,Patriots,0,30,23,3,3,242,31.0,QB,0,0,0,0,0,5,1,43,0,Patriots,0,0,3,Bills,189,32,14.0,DST,160,8.0,0,349,0,1
2,2015,3,Tyrod Taylor,0,0,Dolphins,0,29,21,0,3,277,30.0,QB,0,0,0,0,0,3,0,12,1,Dolphins,0,0,0,Bills,277,41,0.0,DST,151,0.0,0,428,0,0
3,2015,4,Tyrod Taylor,0,0,Giants,0,42,28,1,1,274,15.0,QB,0,0,0,0,0,6,0,15,0,Giants,0,1,1,Bills,258,10,13.0,DST,55,2.0,0,313,0,1
4,2015,5,Tyrod Taylor,0,0,Titans,0,17,10,0,1,109,23.0,QB,0,0,4,1,0,8,1,76,1,Titans,0,1,0,Bills,82,14,10.0,DST,127,4.0,0,209,0,0
5,2015,9,Tyrod Taylor,0,0,Dolphins,0,12,11,0,1,181,17.0,QB,0,0,0,0,0,10,0,44,0,Dolphins,0,0,0,Bills,154,33,3.0,DST,266,3.0,0,420,0,1
6,2015,10,Tyrod Taylor,0,0,Jets,0,27,17,0,1,158,13.0,QB,0,0,0,0,0,6,0,12,1,Jets,0,0,0,Bills,132,22,5.0,DST,148,4.0,0,280,0,0
7,2015,11,Tyrod Taylor,0,0,Patriots,0,36,20,0,0,233,9.0,QB,0,0,0,0,0,4,0,1,1,Patriots,0,1,0,Bills,225,13,11.0,DST,94,2.0,0,319,0,0
8,2015,12,Tyrod Taylor,0,1,Chiefs,0,38,21,0,3,291,32.0,QB,0,0,0,0,0,5,0,46,1,Chiefs,0,2,0,Bills,286,22,6.0,DST,129,1.0,0,415,0,0
9,2015,13,Tyrod Taylor,0,0,Texans,0,21,11,0,3,211,34.0,QB,0,0,0,0,0,7,1,28,0,Texans,0,0,0,Bills,203,30,1.0,DST,187,1.0,0,390,0,1
10,2015,14,Tyrod Taylor,0,0,Eagles,0,36,19,1,1,268,19.0,QB,0,0,0,0,0,8,0,53,1,Eagles,0,1,1,Bills,260,20,9.0,DST,152,1.0,0,412,0,0
11,2015,15,Tyrod Taylor,0,0,Redskins,0,27,16,0,2,235,30.0,QB,0,0,0,0,1,9,0,79,1,Redskins,0,0,0,Bills,212,25,6.0,DST,240,5.0,0,452,0,0
12,2015,16,Tyrod Taylor,0,0,Cowboys,0,18,13,1,0,179,11.0,QB,0,0,0,0,0,14,0,67,0,Cowboys,0,1,1,Bills,172,16,11.0,DST,236,3.0,0,408,0,1
13,2015,17,Tyrod Taylor,0,0,Jets,0,28,18,0,0,182,18.0,QB,0,0,0,0,0,10,1,51,0,Jets,0,1,0,Bills,182,22,5.0,DST,113,2.0,0,295,0,1
