,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3453,2016,1,Allen Robinson,0,0,Packers,0,0,0,0,0,0,7.0,WR,0,0,72,6,0,0,0,0,0
3585,2016,2,Allen Robinson,0,0,Chargers,0,0,0,0,0,0,5.0,WR,0,0,54,3,0,0,0,0,1
3664,2016,3,Allen Robinson,0,0,Ravens,0,0,0,0,0,0,17.0,WR,0,2,57,7,0,0,0,0,0
3788,2016,4,Allen Robinson,0,0,Colts,0,0,0,0,0,0,11.0,WR,0,1,55,5,0,0,0,0,0
4036,2016,6,Allen Robinson,0,0,Bears,0,0,0,0,0,0,4.0,WR,0,0,49,3,0,0,0,0,1
4193,2016,7,Allen Robinson,0,0,Raiders,0,0,0,0,0,0,0.0,WR,0,0,9,2,0,0,0,0,0
4242,2016,8,Allen Robinson,0,0,Titans,0,0,0,0,0,0,7.0,WR,0,0,70,6,0,0,0,0,1
4317,2016,9,Allen Robinson,0,0,Chiefs,0,0,0,0,0,0,13.0,WR,0,1,76,7,0,0,0,0,1
4411,2016,10,Allen Robinson,0,0,Texans,0,0,0,0,0,0,18.0,WR,1,1,107,9,0,0,0,0,0
4539,2016,11,Allen Robinson,0,0,Lions,0,0,0,0,0,0,7.0,WR,0,1,18,3,0,0,0,0,1
4699,2016,12,Allen Robinson,0,0,Bills,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,1
4809,2016,13,Allen Robinson,0,0,Broncos,0,0,0,0,0,0,3.0,WR,0,0,31,3,0,0,0,0,0
4940,2016,14,Allen Robinson,0,0,Min,0,0,0,0,0,0,1.0,WR,0,0,17,1,0,0,0,0,0
5063,2016,15,Allen Robinson,0,0,Texans,0,0,0,0,0,0,1.0,WR,0,0,15,2,0,0,0,0,1
5109,2016,16,Allen Robinson,0,0,Titans,0,0,0,0,0,0,14.0,WR,0,0,147,9,0,0,0,0,0
5249,2016,17,Allen Robinson,0,0,Colts,0,0,0,0,0,0,8.0,WR,0,0,82,5,0,0,0,0,1
7213,2015,1,Allen Robinson,0,0,Panthers,0,0,0,0,0,0,2.0,WR,0,0,27,1,0,0,0,0,0
7263,2015,2,Allen Robinson,0,0,Dolphins,0,0,0,0,0,0,27.0,WR,0,2,155,6,0,0,0,0,0
7415,2015,3,Allen Robinson,0,0,Patriots,0,0,0,0,0,0,6.0,WR,0,0,68,4,0,0,0,0,1
7513,2015,4,Allen Robinson,0,0,Colts,0,0,0,0,0,0,8.0,WR,0,0,80,4,0,0,0,0,1
7589,2015,5,Allen Robinson,0,0,Buccaneers,0,0,0,0,0,0,19.0,WR,0,2,72,7,0,0,0,0,1
7697,2015,6,Allen Robinson,0,0,Texans,0,0,0,0,0,0,14.0,WR,0,1,86,6,0,0,0,0,0
7795,2015,7,Allen Robinson,0,0,Bills,0,0,0,0,0,0,15.0,WR,0,1,98,6,0,0,0,0,0
8007,2015,9,Allen Robinson,0,0,Jets,0,0,0,0,0,0,12.0,WR,0,0,121,6,0,0,0,0,1
8095,2015,10,Allen Robinson,0,0,Ravens,0,0,0,0,0,0,11.0,WR,0,1,51,5,0,0,0,0,1
8198,2015,11,Allen Robinson,0,0,Titans,0,0,0,0,0,0,11.0,WR,0,0,113,5,0,0,0,0,0
8305,2015,12,Allen Robinson,0,0,Chargers,0,0,0,0,0,0,11.0,WR,0,1,56,5,0,0,0,0,0
8398,2015,13,Allen Robinson,0,0,Titans,0,0,0,0,0,0,33.0,WR,0,3,153,10,0,0,0,0,1
8549,2015,14,Allen Robinson,0,0,Colts,0,0,0,0,0,0,6.0,WR,0,1,4,1,0,0,0,0,0
8653,2015,15,Allen Robinson,0,0,Falcons,0,0,0,0,0,0,11.0,WR,0,1,57,3,0,0,0,0,0
8750,2015,16,Allen Robinson,0,0,Saints,0,0,0,0,0,0,21.0,WR,0,1,151,6,0,0,0,0,1
8882,2015,17,Allen Robinson,0,0,Texans,0,0,0,0,0,0,10.0,WR,0,0,108,5,0,0,0,0,1
10863,2014,1,Allen Robinson,0,0,Eagles,0,0,0,0,0,0,0.0,WR,0,0,0,1,0,0,0,0,1
10900,2014,2,Allen Robinson,0,0,Redskins,0,0,0,0,0,0,7.0,WR,0,0,75,4,0,0,0,0,1
11032,2014,3,Allen Robinson,0,0,Colts,0,0,0,0,0,0,7.0,WR,0,0,79,7,0,0,0,0,0
11169,2014,4,Allen Robinson,0,0,Chargers,0,0,0,0,0,0,3.0,WR,0,0,38,5,0,0,0,0,1
11257,2014,5,Allen Robinson,0,0,Steelers,0,0,0,0,0,0,5.0,WR,0,0,51,5,0,0,0,0,0
11376,2014,6,Allen Robinson,0,0,Titans,0,0,0,0,0,0,6.0,WR,0,0,68,8,0,0,0,0,1
11462,2014,7,Allen Robinson,0,0,Browns,0,0,0,0,0,0,12.0,WR,0,1,60,4,0,0,0,0,0
11568,2014,8,Allen Robinson,0,0,Dolphins,0,0,0,0,0,0,14.0,WR,0,1,82,5,0,0,0,0,0
11716,2014,9,Allen Robinson,0,0,Bengals,0,0,0,0,0,0,3.0,WR,0,0,35,4,0,0,0,0,1
11794,2014,10,Allen Robinson,0,0,Cowboys,0,0,0,0,0,0,8.0,WR,1,0,60,5,0,0,0,0,0
