,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3578,2016,2,Andre Holmes,0,0,Falcons,0,0,0,0,0,0,6.0,WR,0,1,6,1,0,0,0,0,0
3767,2016,3,Andre Holmes,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1
3959,2016,5,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,0
4019,2016,6,Andre Holmes,0,0,Chiefs,0,0,0,0,0,0,7.0,WR,0,1,11,2,0,0,0,0,0
4200,2016,7,Andre Holmes,0,0,Jaguars,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,1
4302,2016,8,Andre Holmes,0,0,Buccaneers,0,0,0,0,0,0,0.0,WR,0,0,0,1,0,0,0,0,1
4375,2016,9,Andre Holmes,0,0,Broncos,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,0
5044,2016,15,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,2.0,WR,0,0,23,1,0,0,0,0,1
5127,2016,16,Andre Holmes,0,0,Colts,0,0,0,0,0,0,9.0,WR,0,1,33,3,0,0,0,0,0
6440,2013,11,Andre Holmes,0,0,Texans,0,0,0,0,0,0,3.0,WR,0,0,33,1,0,0,0,0,1
6546,2013,12,Andre Holmes,0,0,Titans,0,0,0,0,0,0,3.0,WR,0,0,32,2,0,0,0,0,0
6597,2013,13,Andre Holmes,0,0,Cowboys,0,0,0,0,0,0,13.0,WR,0,0,136,7,0,0,0,0,1
6747,2013,14,Andre Holmes,0,0,Jets,0,0,0,0,0,0,6.0,WR,0,0,63,3,0,0,0,0,1
6830,2013,15,Andre Holmes,0,0,Chiefs,0,0,0,0,0,0,11.0,WR,0,1,58,4,0,0,0,0,0
6954,2013,16,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,7.0,WR,0,0,71,5,0,0,0,0,1
7106,2013,17,Andre Holmes,0,0,Broncos,0,0,0,0,0,0,3.0,WR,0,0,38,3,0,0,0,0,0
7316,2015,2,Andre Holmes,0,0,Ravens,0,0,0,0,0,0,5.0,WR,0,0,50,3,0,0,0,0,0
7417,2015,3,Andre Holmes,0,0,Browns,0,0,0,0,0,0,6.0,WR,0,1,3,1,0,0,0,0,1
7900,2015,8,Andre Holmes,0,0,Jets,0,0,0,0,0,0,17.0,WR,0,2,54,2,0,0,0,0,0
8100,2015,10,Andre Holmes,0,0,Min,0,0,0,0,0,0,9.0,WR,0,1,34,1,0,0,0,0,0
8390,2015,12,Andre Holmes,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1
8503,2015,13,Andre Holmes,0,0,Chiefs,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,0
8726,2015,15,Andre Holmes,0,0,Packers,0,0,0,0,0,0,1.0,WR,0,0,17,2,0,0,0,0,0
8811,2015,16,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,0
9416,2012,4,Andre Holmes,0,0,Bears,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,0
10210,2012,12,Andre Holmes,0,0,Redskins,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,0
10924,2014,2,Andre Holmes,0,0,Texans,0,0,0,0,0,0,4.0,WR,0,0,45,5,0,0,0,0,0
11077,2014,3,Andre Holmes,0,0,Patriots,0,0,0,0,0,0,2.0,WR,0,0,29,1,0,0,0,0,1
11127,2014,4,Andre Holmes,0,0,Dolphins,0,0,0,0,0,0,13.0,WR,0,1,74,5,0,0,0,0,0
11334,2014,6,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,24.0,WR,0,2,121,4,0,0,0,0,0
11512,2014,7,Andre Holmes,0,0,Cardinals,0,0,0,0,0,0,3.0,WR,0,0,34,3,0,0,0,0,0
11573,2014,8,Andre Holmes,0,0,Browns,0,0,0,0,0,0,12.0,WR,0,1,69,5,0,0,0,0,1
11727,2014,9,Andre Holmes,0,0,Seahawks,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,1
11939,2014,11,Andre Holmes,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,19,2,0,0,0,0,1
12006,2014,12,Andre Holmes,0,0,Chiefs,0,0,0,0,0,0,5.0,WR,0,0,55,5,0,0,0,0,0
12143,2014,13,Andre Holmes,0,0,Rams,0,0,0,0,0,0,2.0,WR,0,0,28,3,0,0,0,0,1
12241,2014,14,Andre Holmes,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,38,2,0,0,0,0,0
12321,2014,15,Andre Holmes,0,0,Chiefs,0,0,0,0,0,0,7.0,WR,0,0,70,5,0,0,0,0,1
12429,2014,16,Andre Holmes,0,0,Bills,0,0,0,0,0,0,7.0,WR,0,0,73,3,0,0,0,0,0
12598,2014,17,Andre Holmes,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,0,0,0,1
