,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5378,2013.0,1,Andre Roberts,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.0,97.0,8.0,0.0,0.0,0.0,0.0,1.0
5519,2013.0,2,Andre Roberts,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.0,97.0,8.0,0.0,0.0,0.0,0.0,1.0
5662,2013.0,3,Andre Roberts,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,66.5,5.5,0.0,0.0,0.0,0.0,0.5
5770,2013.0,4,Andre Roberts,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.0,46.333333333333336,4.0,0.0,0.0,0.0,0.0,0.6666666666666666
5974,2013.0,6,Andre Roberts,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,36.25,3.25,0.0,0.0,0.0,0.0,0.75
6053,2013.0,7,Andre Roberts,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.4,WR,0.0,0.0,30.0,2.8,0.0,0.0,0.0,0.0,0.8
6181,2013.0,8,Andre Roberts,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.5,WR,0.0,0.0,30.5,3.1666666666666665,0.0,0.0,0.0,0.0,0.6666666666666666
6302,2013.0,10,Andre Roberts,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,WR,0.0,0.0,27.285714285714285,2.857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714
6462,2013.0,11,Andre Roberts,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,3.5,WR,0.0,0.125,32.875,3.125,0.0,0.0,0.0,0.0,0.5
6535,2013.0,12,Andre Roberts,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,3.2222222222222223,WR,0.0,0.1111111111111111,30.77777777777778,3.111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556
6655,2013.0,13,Andre Roberts,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,3.3,WR,0.0,0.1,32.0,3.1,0.0,0.0,0.0,0.0,0.5
6797,2013.0,14,Andre Roberts,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,3.1818181818181817,WR,0.0,0.09090909090909091,31.727272727272727,3.1818181818181817,0.0,0.0,0.0,0.0,0.5454545454545454
6901,2013.0,15,Andre Roberts,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,WR,0.0,0.08333333333333333,29.75,3.0,0.0,0.0,0.0,0.0,0.5
6992,2013.0,16,Andre Roberts,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,WR,0.0,0.07692307692307693,28.615384615384617,2.923076923076923,0.0,0.0,0.0,0.0,0.5384615384615384
7053,2013.0,17,Andre Roberts,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,WR,0.0,0.07142857142857142,28.357142857142858,2.857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714
