,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1817,2010.0,1,Anthony Armstrong,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
1890,2010.0,2,Anthony Armstrong,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
2064,2010.0,4,Anthony Armstrong,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,23.5,1.5,0.0,0.0,0.0,0.0,0.0
2136,2010.0,5,Anthony Armstrong,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.666666666666664,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
2271,2010.0,6,Anthony Armstrong,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,5.75,WR,0.0,0.25,47.0,1.75,0.0,0.0,0.0,0.0,0.25
2351,2010.0,7,Anthony Armstrong,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,5.4,WR,0.0,0.2,46.8,2.4,0.0,0.0,0.0,0.0,0.2
2420,2010.0,8,Anthony Armstrong,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,WR,0.0,0.16666666666666666,46.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333
2611,2010.0,10,Anthony Armstrong,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714285714,WR,0.0,0.14285714285714285,52.57142857142857,2.4285714285714284,0.0,0.0,0.0,0.0,0.42857142857142855
2725,2010.0,11,Anthony Armstrong,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.125,56.375,2.5,0.0,0.0,0.0,0.0,0.375
2821,2010.0,12,Anthony Armstrong,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,5.777777777777778,WR,0.0,0.1111111111111111,54.666666666666664,2.5555555555555554,0.0,0.0,0.0,0.0,0.4444444444444444
2895,2010.0,13,Anthony Armstrong,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,5.7,WR,0.0,0.1,54.5,2.5,0.0,0.0,0.0,0.0,0.4
3045,2010.0,14,Anthony Armstrong,0.0,0.09090909090909091,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,6.454545454545454,WR,0.0,0.18181818181818182,58.36363636363637,2.8181818181818183,0.0,0.0,0.0,0.0,0.45454545454545453
3127,2010.0,15,Anthony Armstrong,0.0,0.08333333333333333,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,WR,0.0,0.16666666666666666,56.0,2.9166666666666665,0.0,0.0,0.0,0.0,0.4166666666666667
3297,2010.0,16,Anthony Armstrong,0.0,0.07692307692307693,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,6.461538461538462,WR,0.0,0.15384615384615385,59.38461538461539,3.076923076923077,0.0,0.0,0.0,0.0,0.46153846153846156
3315,2010.0,17,Anthony Armstrong,0.0,0.07142857142857142,Giants,0.0,0.0,0.0,0.0,0.0,0.0,6.071428571428571,WR,0.0,0.14285714285714285,56.214285714285715,3.0,0.0,0.0,0.0,0.0,0.5
